,All people aged 16 to 74 in employment,"1. Managers, directors and senior officials",2. Professional occupations,3. Associate professional and technical occupations,4. Administrative and secretarial occupations,5. Skilled trades occupations,"6. Caring, leisure and other service occupations",7. Sales and customer service occupations,"8. Process, plant and machine operatives",9. Elementary occupations
S01001328,296,18,23,14,23,43,48,34,38,55
S01001329,237,11,12,17,30,28,36,31,30,42
S01001330,469,33,72,60,66,72,43,38,42,43
S01001331,363,19,29,37,51,45,54,44,24,60
S01001332,397,27,36,41,33,72,50,39,49,50
S01001333,332,19,31,27,34,43,38,32,47,61
S01001334,370,13,15,30,32,60,61,44,64,51
S01001335,385,17,38,37,40,47,38,46,53,69
S01001336,397,13,30,34,37,73,56,55,42,57
S01001337,384,41,69,52,56,61,26,32,27,20
S01001338,280,10,20,24,19,44,46,29,46,42
S01001339,363,28,60,40,43,59,36,31,26,40
S01001340,319,18,22,21,25,36,58,36,44,59
S01001341,341,21,28,22,35,55,55,32,43,50
S01001342,397,22,30,38,37,62,43,63,50,52
S01001343,434,24,42,41,41,74,58,36,62,56
S01001344,366,21,53,52,55,54,38,36,32,25
S01001345,252,28,19,28,27,42,28,30,31,19
S01001346,358,29,87,52,39,49,18,36,17,31
S01001347,371,41,82,64,44,30,26,28,26,30
S01001348,279,10,23,24,30,51,38,40,26,37
S01001349,500,42,65,58,48,120,29,37,38,63
S01001350,223,12,14,20,17,43,31,15,30,41
S01001351,269,24,51,42,38,31,20,24,18,21
S01001352,391,34,48,40,45,70,37,33,37,47
S01001353,817,97,182,152,107,84,54,72,32,37
S01001354,343,26,48,46,41,39,32,33,31,47
S01001355,331,30,60,33,39,55,26,30,20,38
S01001356,308,26,79,44,31,37,18,42,10,21
S01001357,301,12,35,37,39,45,36,31,24,42
S01001358,410,33,49,43,35,67,44,41,51,47
S01001359,367,43,112,53,29,40,20,27,16,27
S01001360,517,32,71,69,69,83,40,47,51,55
S01001361,374,28,68,46,40,49,43,40,33,27
S01001362,252,28,41,31,36,32,20,25,22,17
S01001363,308,19,43,42,25,45,29,47,18,40
S01001364,342,32,58,37,31,56,29,26,32,41
S01001365,276,15,16,20,29,44,41,28,34,49
S01001366,407,41,113,54,43,41,34,36,17,28
S01001367,339,38,48,39,41,44,37,24,26,42
S01001368,644,76,118,87,62,151,45,38,36,31
S01001369,401,29,47,38,49,70,37,26,45,60
S01001370,439,35,113,71,44,48,41,29,26,32
S01001371,315,28,51,49,45,29,28,23,22,40
S01001372,393,28,57,38,49,56,47,34,34,50
S01001373,308,27,55,31,32,56,32,23,19,33
S01001374,249,22,39,35,35,35,18,31,9,25
S01001375,348,37,53,35,45,54,36,34,29,25
S01001376,416,42,63,51,44,52,44,50,27,43
S01001377,281,11,19,22,33,46,32,32,33,53
S01001378,321,24,68,46,34,29,34,29,33,24
S01001379,484,31,59,51,49,77,59,37,48,73
S01001380,353,16,51,26,46,60,46,25,28,55
S01001381,357,29,60,36,42,37,42,33,35,43
S01001382,248,25,35,27,23,26,32,26,18,36
S01001383,263,24,28,21,32,39,31,28,23,37
S01001384,352,22,24,18,37,51,44,45,44,67
S01001385,348,21,47,32,34,38,36,45,40,55
S01001386,392,35,37,56,44,62,39,41,24,54
S01001387,391,19,37,46,45,39,57,37,46,65
S01001388,554,39,61,64,50,59,66,64,55,96
S01001389,198,9,18,16,24,39,32,16,18,26
S01001390,387,24,59,41,53,56,40,33,29,52
S01001391,324,24,17,27,37,52,46,31,37,53
S01001392,242,10,11,19,15,34,38,34,30,51
S01001393,263,35,63,50,21,24,17,22,13,18
S01001394,168,3,12,13,13,15,29,21,29,33
S01001395,449,31,38,43,64,52,62,59,39,61
S01001396,329,16,34,37,32,49,44,30,41,46
S01001397,283,13,7,26,21,49,40,27,44,56
S01001398,382,39,91,60,50,50,17,32,21,22
S01001399,286,12,11,14,25,33,49,43,32,67
S01001400,349,18,23,29,28,33,72,30,39,77
S01001401,318,10,16,23,18,63,52,43,34,59
S01001402,474,28,93,57,56,65,58,48,38,31
S01001403,707,65,148,138,86,80,56,46,37,51
S01001404,384,41,86,62,42,49,24,32,17,31
S01001405,677,71,160,123,78,78,36,58,33,40
S01001406,"1,491",150,319,233,169,194,125,115,92,94
S01001407,363,29,74,52,46,45,36,25,26,30
S01001408,403,29,54,45,49,53,46,43,41,43
S01001409,441,28,55,46,63,57,49,39,51,53
S01001410,473,68,88,76,46,68,41,26,33,27
S01001411,358,45,68,58,32,82,30,18,11,14
S01001412,348,17,24,40,38,50,51,41,45,42
S01001413,499,58,115,79,74,55,24,39,26,29
S01001414,276,17,23,30,35,52,36,35,14,34
S01001415,368,26,65,46,49,83,29,30,14,26
S01001416,320,23,42,49,44,36,27,38,21,40
S01001417,501,46,78,77,75,55,47,54,37,32
S01001418,385,46,92,58,41,32,37,31,24,24
S01001419,352,33,52,46,36,49,38,36,20,42
S01001420,632,81,169,101,45,102,42,35,26,31
S01001421,509,63,138,77,57,47,24,33,33,37
S01001422,410,58,89,44,38,82,23,29,20,27
S01001423,425,36,108,65,53,50,33,35,23,22
S01001424,464,32,49,59,55,62,59,64,35,49
S01001425,801,72,143,108,94,97,76,78,53,80
S01001426,380,30,62,58,48,58,35,41,21,27
S01001427,484,41,89,75,58,61,45,48,33,34
S01001428,405,16,45,34,64,64,65,37,23,57
S01001429,292,27,53,41,35,32,35,20,16,33
S01001430,399,50,121,63,56,29,19,21,16,24
S01001431,485,41,83,63,82,57,52,54,26,27
S01001432,394,37,80,44,55,48,37,39,24,30
S01001433,385,28,79,45,63,39,34,53,22,22
S01001434,434,42,108,67,59,38,27,47,16,30
S01001435,515,34,100,69,84,60,49,59,32,28
S01001436,497,44,181,73,60,43,28,37,11,20
S01001437,447,41,98,60,67,45,29,51,24,32
S01001438,230,29,91,34,28,7,12,17,3,9
S01001439,379,31,91,55,59,42,29,34,16,22
S01001440,476,21,73,81,71,64,61,50,21,34
S01001441,337,39,84,51,51,26,23,29,17,17
S01001442,337,28,59,49,47,43,21,39,27,24
S01001443,485,36,82,81,92,57,30,44,22,41
S01001444,516,43,74,54,100,68,36,68,29,44
S01001445,380,32,105,61,54,42,33,29,13,11
S01001446,396,47,96,66,56,28,25,45,11,22
S01001447,637,116,248,100,52,38,21,32,9,21
S01001448,352,19,63,61,53,33,30,36,20,37
S01001449,276,45,94,38,28,17,15,23,11,5
S01001450,360,35,87,53,45,43,17,49,21,10
S01001451,336,34,110,55,43,26,22,19,20,7
S01001452,407,51,119,62,51,29,24,41,12,18
S01001453,433,50,117,64,63,38,27,38,15,21
S01001454,467,55,137,64,57,44,30,36,22,22
S01001455,379,32,78,65,53,41,30,35,16,29
S01001456,228,32,86,38,28,8,11,13,6,6
S01001457,437,56,164,82,40,26,20,25,6,18
S01001458,422,38,88,70,70,36,28,50,23,19
S01001459,390,63,152,45,32,26,22,32,8,10
S01001460,310,39,66,54,46,27,18,33,15,12
S01001461,372,34,102,60,53,31,15,36,22,19
S01001462,348,61,148,45,26,16,14,22,8,8
S01001463,218,20,47,33,26,19,23,24,16,10
S01001464,455,52,105,81,62,42,33,41,17,22
S01001465,345,41,138,57,32,29,10,13,12,13
S01001466,341,40,105,61,43,21,22,26,8,15
S01001467,459,43,123,85,74,37,31,36,18,12
S01001468,316,46,85,39,34,37,18,27,11,19
S01001469,373,59,111,48,49,23,23,29,6,25
S01001470,423,79,190,57,27,14,10,19,10,17
S01001471,346,51,128,69,32,18,13,19,5,11
S01001472,373,36,98,59,59,28,28,37,11,17
S01001473,341,68,124,48,27,11,19,22,7,15
S01001474,386,31,92,57,52,41,28,30,22,33
S01001475,249,26,106,35,28,15,9,11,11,8
S01001476,484,57,188,73,57,26,21,35,7,20
S01001477,472,49,122,71,68,31,42,38,21,30
S01001478,305,34,117,34,42,17,20,23,7,11
S01001479,272,26,79,32,38,32,24,18,8,15
S01001480,251,25,86,39,38,15,19,13,10,6
S01001481,410,39,131,60,48,31,32,35,15,19
S01001482,315,22,52,36,40,40,44,28,14,39
S01001483,488,77,201,75,42,20,13,35,8,17
S01001484,431,60,177,77,39,13,23,26,8,8
S01001485,308,22,56,46,45,39,32,36,21,11
S01001486,314,43,133,46,23,21,12,21,5,10
S01001487,278,11,30,17,23,44,40,36,32,45
S01001488,428,29,107,57,73,42,36,40,20,24
S01001489,380,48,94,72,54,18,35,27,11,21
S01001490,468,43,64,79,55,49,60,43,36,39
S01001491,429,41,169,66,47,23,24,30,16,13
S01001492,390,20,70,39,53,52,52,32,31,41
S01001493,442,34,100,62,68,45,39,39,22,33
S01001494,433,35,80,46,59,58,50,44,28,33
S01001495,261,38,85,47,31,7,14,28,3,8
S01001496,437,66,161,59,45,26,25,24,14,17
S01001497,350,22,51,55,54,30,30,37,34,37
S01001498,347,32,94,53,57,21,26,23,20,21
S01001499,577,55,142,95,66,68,44,35,32,40
S01001500,218,15,30,22,26,27,31,24,12,31
S01001501,370,37,126,66,56,22,20,17,13,13
S01001502,425,21,87,61,58,59,41,35,30,33
S01001503,445,40,78,65,65,55,37,49,27,29
S01001504,434,27,63,57,62,45,45,42,42,51
S01001505,469,49,119,73,76,45,31,34,17,25
S01001506,325,25,70,67,34,32,33,34,13,17
S01001507,488,91,158,67,40,31,27,39,9,26
S01001508,463,47,139,69,57,43,37,38,10,23
S01001509,349,18,54,33,52,42,44,36,29,41
S01001510,248,22,55,29,26,28,24,26,17,21
S01001511,241,40,66,28,31,22,19,15,7,13
S01001512,329,17,24,19,31,50,59,38,30,61
S01001513,323,18,28,16,15,40,46,58,35,67
S01001514,420,28,68,56,73,66,42,36,25,26
S01001515,305,23,114,44,33,23,20,21,12,15
S01001516,317,11,38,35,27,45,55,27,36,43
S01001517,311,32,65,38,47,35,20,32,13,29
S01001518,478,23,65,60,66,70,59,51,27,57
S01001519,468,59,149,97,36,26,29,34,19,19
S01001520,335,23,40,32,53,42,44,36,31,34
S01001521,421,52,150,66,35,34,16,32,14,22
S01001522,437,25,55,53,63,56,53,54,24,54
S01001523,444,56,147,67,46,34,26,42,10,16
S01001524,407,21,49,47,56,64,53,41,32,44
S01001525,405,32,41,54,49,51,44,55,42,37
S01001526,312,20,79,54,60,27,14,29,18,11
S01001527,424,40,62,48,45,51,44,56,21,57
S01001528,533,61,155,88,61,48,32,33,25,30
S01001529,304,27,95,58,36,21,22,18,9,18
S01001530,370,23,48,42,40,53,40,44,25,55
S01001531,597,49,116,82,74,83,70,47,36,40
S01001532,254,35,93,45,28,13,11,13,11,5
S01001533,437,57,169,86,34,22,18,21,20,10
S01001534,336,27,95,46,35,37,27,32,10,27
S01001535,418,48,105,51,51,47,41,32,19,24
S01001536,383,21,38,47,27,48,50,32,52,68
S01001537,210,16,20,18,18,27,19,19,34,39
S01001538,356,35,92,54,39,30,36,32,16,22
S01001539,463,46,89,64,59,53,44,43,24,41
S01001540,453,68,130,74,52,33,25,33,14,24
S01001541,377,40,88,53,54,32,26,35,21,28
S01001542,349,29,72,46,56,35,33,33,21,24
S01001543,383,31,92,61,38,48,38,37,20,18
S01001544,438,45,81,46,39,64,48,45,21,49
S01001545,462,37,89,60,72,64,46,32,23,39
S01001546,384,25,49,32,27,54,80,38,22,57
S01001547,389,26,62,39,31,47,66,26,38,54
S01001548,603,68,152,91,54,73,47,35,35,48
S01001549,520,53,115,74,36,72,65,36,33,36
S01001550,434,64,82,62,37,66,45,25,24,29
S01001551,424,43,92,40,40,68,43,23,30,45
S01001552,426,42,53,41,44,70,53,42,32,49
S01001553,445,78,101,62,32,79,41,6,18,28
S01001554,507,58,129,80,52,49,56,27,25,31
S01001555,332,27,24,25,30,55,49,43,31,48
S01001556,414,35,80,48,53,74,42,26,27,29
S01001557,524,70,144,89,54,59,40,18,21,29
S01001558,401,25,46,50,52,84,51,26,29,38
S01001559,173,9,13,19,23,29,34,15,12,19
S01001560,531,24,31,58,46,58,71,104,25,114
S01001561,698,68,96,97,80,117,80,60,36,64
S01001562,"1,430",136,190,206,205,218,134,126,88,127
S01001563,326,45,65,51,43,28,28,31,19,16
S01001564,267,26,23,31,50,35,23,41,14,24
S01001565,350,24,58,43,50,42,37,40,21,35
S01001566,357,23,50,49,72,37,30,40,16,40
S01001567,552,37,58,76,90,82,75,60,36,38
S01001568,385,57,104,55,37,39,28,26,13,26
S01001569,488,43,53,86,72,77,42,46,37,32
S01001570,294,31,56,50,41,33,30,28,14,11
S01001571,310,18,14,24,31,53,44,43,41,42
S01001572,305,20,41,32,60,44,25,38,20,25
S01001573,352,37,70,49,35,60,32,12,23,34
S01001574,402,21,41,27,45,48,63,50,28,79
S01001575,410,29,53,51,74,53,43,35,29,43
S01001576,249,14,22,27,37,28,35,34,21,31
S01001577,379,20,37,47,46,57,51,43,32,46
S01001578,342,17,27,38,37,54,48,38,41,42
S01001579,369,19,36,40,53,43,39,37,39,63
S01001580,274,18,45,32,48,30,34,25,14,28
S01001581,307,22,43,43,57,31,31,35,20,25
S01001582,376,26,28,28,49,54,65,41,38,47
S01001583,222,16,20,26,31,32,25,29,11,32
S01001584,340,26,55,45,45,37,41,31,27,33
S01001585,387,28,43,45,49,46,45,50,25,56
S01001586,286,30,61,41,60,29,20,26,7,12
S01001587,321,13,17,32,36,44,50,43,29,57
S01001588,355,21,14,30,45,53,57,56,30,49
S01001589,375,21,20,25,43,55,63,41,42,65
S01001590,341,28,65,51,42,40,35,34,20,26
S01001591,240,19,16,18,28,32,34,34,29,30
S01001592,385,24,22,40,44,52,62,60,30,51
S01001593,432,34,68,51,54,44,47,44,30,60
S01001594,398,47,62,48,65,40,36,39,18,43
S01001595,285,26,21,25,26,38,37,37,21,54
S01001596,389,30,75,48,43,31,54,45,17,46
S01001597,326,23,66,56,48,35,27,27,17,27
S01001598,337,42,55,42,69,37,30,34,15,13
S01001599,525,33,88,74,67,56,46,64,32,65
S01001600,506,36,76,58,81,64,52,54,29,56
S01001601,643,84,137,87,70,95,49,25,31,65
S01001602,339,28,43,61,44,47,31,41,25,19
S01001603,522,43,66,71,65,73,65,48,38,53
S01001604,265,7,16,22,19,55,45,38,25,38
S01001605,411,42,44,46,46,73,52,34,27,47
S01001606,297,20,42,34,29,38,37,38,22,37
S01001607,"1,537",157,282,230,213,193,146,118,87,111
S01001608,477,44,80,67,60,49,47,49,34,47
S01001609,437,23,45,44,36,74,60,45,43,67
S01001610,392,52,82,46,40,48,41,19,24,40
S01001611,533,83,148,75,56,60,33,31,13,34
S01001612,406,46,89,62,54,41,28,42,16,28
S01001613,331,16,13,25,30,56,43,38,40,70
S01001614,256,19,49,38,23,35,31,19,19,23
S01001615,388,24,46,37,44,41,68,27,41,60
S01001616,381,54,124,52,45,26,26,17,16,21
S01001617,249,11,20,21,34,39,30,29,26,39
S01001618,481,55,116,68,44,68,44,23,23,40
S01001619,318,16,20,33,30,64,43,42,17,53
S01001620,339,30,47,47,48,51,37,23,28,28
S01001621,334,26,29,29,31,52,53,34,30,50
S01001622,400,27,53,27,26,63,51,40,39,74
S01001623,352,18,54,33,35,66,47,20,34,45
S01001624,441,27,61,48,34,64,69,34,44,60
S01001625,329,17,20,39,41,49,36,37,28,62
S01001626,359,27,66,36,39,48,49,35,22,37
S01001627,728,51,85,84,101,117,75,59,66,90
S01001628,277,17,9,16,41,48,44,36,25,41
S01001629,269,27,20,35,48,34,35,24,11,35
S01001630,240,22,14,23,26,37,26,29,24,39
S01001631,754,79,84,95,117,113,78,77,56,55
S01001632,341,29,50,47,72,50,26,21,23,23
S01001633,398,37,100,67,43,46,35,30,15,25
S01001634,531,41,88,85,77,56,49,62,40,33
S01001635,378,23,51,50,64,41,45,37,24,43
S01001636,292,27,38,40,58,36,20,26,23,24
S01001637,389,54,76,75,52,48,29,18,10,27
S01001638,435,30,78,56,66,46,55,35,36,33
S01001639,289,19,39,32,41,43,35,37,18,25
S01001640,301,51,67,51,36,36,26,14,7,13
S01001641,776,108,168,115,81,94,71,43,41,55
S01001642,383,41,71,52,46,56,41,29,16,31
S01001643,335,29,69,41,33,57,30,19,22,35
S01001644,852,79,171,99,99,83,98,55,79,89
S01001645,454,61,87,65,40,47,46,39,30,39
S01001646,333,34,81,35,17,56,35,14,16,45
S01001647,279,17,47,33,33,47,28,20,28,26
S01001648,354,21,44,22,32,63,35,36,44,57
S01001649,316,10,24,19,33,57,54,27,38,54
S01001650,376,33,81,40,32,50,51,16,25,48
S01001651,401,46,76,47,53,45,35,24,37,38
S01001652,371,55,111,62,31,28,27,19,16,22
S01001653,342,27,41,48,30,58,44,30,25,39
S01001654,460,65,122,62,45,52,32,14,22,46
S01001655,242,29,65,35,30,22,21,10,9,21
S01001656,630,70,140,76,64,86,62,38,32,62
S01001657,264,51,56,38,17,49,19,10,10,14
S01001658,482,65,98,72,44,57,41,31,14,60
S01001659,278,46,84,43,29,21,16,12,7,20
S01001660,282,54,79,41,30,23,21,14,4,16
S01001661,406,61,84,52,36,52,38,21,14,48
S01001662,304,26,32,23,27,54,44,28,16,54
S01001663,367,50,90,59,42,26,25,29,15,31
S01001664,276,43,81,35,24,26,18,15,9,25
S01001665,283,36,72,45,41,15,25,22,9,18
S01001666,258,33,76,36,23,27,17,8,9,29
S01001667,296,42,96,52,29,22,16,15,9,15
S01001668,365,91,115,59,23,16,24,7,6,24
S01001669,318,54,46,40,29,39,44,25,11,30
S01001670,308,35,73,52,39,38,20,18,12,21
S01001671,273,29,63,46,32,32,20,25,11,15
S01001672,251,27,41,41,38,28,24,20,15,17
S01001673,350,38,76,61,46,29,35,32,17,16
S01001674,302,29,71,41,36,31,30,24,26,14
S01001675,344,37,89,55,43,23,33,29,16,19
S01001676,561,108,160,80,58,58,22,37,12,26
S01001677,417,50,116,62,58,34,23,36,9,29
S01001678,463,35,83,66,79,61,48,35,30,26
S01001679,393,90,132,59,39,14,19,26,2,12
S01001680,242,54,71,32,29,10,12,17,8,9
S01001681,291,53,101,42,27,12,9,28,5,14
S01001682,374,28,48,45,55,51,51,33,37,26
S01001683,309,45,103,51,32,18,16,24,10,10
S01001684,237,36,74,34,26,23,14,15,6,9
S01001685,306,30,68,47,35,24,34,29,10,29
S01001686,424,74,137,62,44,18,26,40,5,18
S01001687,398,50,117,60,35,26,33,42,15,20
S01001688,497,49,136,99,73,32,28,55,7,18
S01001689,292,63,83,43,39,10,10,21,5,18
S01001690,465,50,132,86,52,36,41,33,12,23
S01001691,397,61,136,67,39,18,17,35,7,17
S01001692,299,40,64,37,33,25,30,36,11,23
S01001693,449,64,147,71,50,32,21,38,6,20
S01001694,344,23,81,63,61,19,28,22,17,30
S01001695,365,50,106,60,37,20,23,43,9,17
S01001696,370,48,90,59,58,30,22,31,8,24
S01001697,409,39,123,60,41,33,22,47,10,34
S01001698,250,25,60,34,29,20,26,26,14,16
S01001699,369,67,110,61,34,13,17,41,9,17
S01001700,447,107,146,63,44,15,13,24,13,22
S01001701,365,29,70,54,54,40,40,37,11,30
S01001702,390,90,107,68,31,22,16,28,14,14
S01001703,472,44,130,67,69,36,28,57,16,25
S01001704,390,102,130,52,38,18,12,18,6,14
S01001705,377,36,84,71,60,26,21,45,9,25
S01001706,401,61,109,53,42,36,30,38,15,17
S01001707,339,23,63,48,50,35,30,39,14,37
S01001708,426,57,135,50,57,17,32,42,12,24
S01001709,342,31,62,62,49,26,33,40,16,23
S01001710,348,51,78,53,50,29,23,39,4,21
S01001711,393,41,88,65,44,32,29,47,19,28
S01001712,244,17,19,35,38,34,36,20,29,16
S01001713,457,52,95,65,60,41,42,55,17,30
S01001714,361,30,84,60,56,27,23,40,18,23
S01001715,460,61,116,77,66,40,29,47,9,15
S01001716,362,26,37,37,43,51,66,39,21,42
S01001717,388,39,106,58,62,35,28,32,12,16
S01001718,263,35,82,39,31,21,12,16,10,17
S01001719,417,36,143,84,48,29,16,31,10,20
S01001720,358,40,105,62,52,17,33,23,12,14
S01001721,324,38,92,63,29,27,21,33,6,15
S01001722,381,34,108,71,47,29,28,33,15,16
S01001723,412,92,159,52,32,13,16,29,7,12
S01001724,278,18,37,36,36,35,27,29,16,44
S01001725,337,20,53,39,49,44,41,40,23,28
S01001726,336,28,114,63,31,18,20,27,16,19
S01001727,477,60,142,81,52,23,36,40,13,30
S01001728,358,42,117,59,41,20,23,33,16,7
S01001729,502,47,106,86,65,34,43,54,28,39
S01001730,296,33,99,42,45,22,13,22,9,11
S01001731,317,39,116,42,33,22,14,26,10,15
S01001732,296,25,72,50,32,29,22,27,20,19
S01001733,436,36,85,65,55,58,44,34,34,25
S01001734,221,32,54,37,32,21,11,13,11,10
S01001735,249,27,81,38,28,21,14,19,5,16
S01001736,490,105,188,55,46,20,20,30,6,20
S01001737,328,32,61,60,56,27,35,26,13,18
S01001738,279,41,106,41,26,14,14,20,5,12
S01001739,367,27,85,54,57,34,30,39,20,21
S01001740,384,24,75,54,44,53,30,42,35,27
S01001741,281,21,37,21,39,35,29,36,33,30
S01001742,308,11,27,37,44,33,58,23,33,42
S01001743,395,26,28,27,57,57,47,50,43,60
S01001744,303,24,61,38,45,38,32,24,23,18
S01001745,422,31,84,59,73,49,31,41,18,36
S01001746,404,59,143,58,38,22,28,26,13,17
S01001747,375,19,32,30,62,43,47,47,42,53
S01001748,314,37,115,47,37,17,16,24,13,8
S01001749,311,23,38,29,49,33,39,31,37,32
S01001750,267,13,28,43,27,30,44,29,31,22
S01001751,436,26,73,55,68,54,53,38,26,43
S01001752,469,62,165,62,54,29,25,33,20,19
S01001753,304,16,25,24,34,48,41,48,33,35
S01001754,385,62,171,39,36,15,18,22,7,15
S01001755,502,57,115,70,70,41,36,65,17,31
S01001756,210,25,61,33,25,14,12,24,6,10
S01001757,362,43,79,41,46,40,30,36,18,29
S01001758,310,37,92,59,35,16,17,35,7,12
S01001759,301,12,32,34,33,39,49,38,27,37
S01001760,393,30,61,59,50,41,43,45,20,44
S01001761,273,24,36,21,35,37,32,26,22,40
S01001762,367,53,146,55,24,15,20,31,7,16
S01001763,405,60,174,59,35,15,14,24,6,18
S01001764,295,34,76,40,49,22,24,31,11,8
S01001765,444,29,68,50,76,46,42,42,45,46
S01001766,307,36,73,42,48,22,19,31,13,23
S01001767,263,26,100,36,30,15,17,23,6,10
S01001768,315,23,64,44,47,26,29,40,17,25
S01001769,250,24,67,45,34,23,11,20,16,10
S01001770,270,17,30,24,36,31,36,40,25,31
S01001771,434,32,90,55,40,47,46,50,24,50
S01001772,214,30,44,46,31,13,18,17,7,8
S01001773,430,31,55,50,68,49,50,50,35,42
S01001774,339,24,91,59,47,33,25,22,21,17
S01001775,343,36,149,51,33,15,19,20,8,12
S01001776,291,32,47,35,50,30,29,22,19,27
S01001777,485,50,209,70,40,24,23,29,13,27
S01001778,338,30,31,35,34,31,63,30,38,46
S01001779,221,35,62,31,30,18,8,17,6,14
S01001780,376,23,80,47,48,54,33,40,16,35
S01001781,314,40,107,40,41,17,21,29,5,14
S01001782,445,38,125,78,65,30,27,44,13,25
S01001783,193,10,21,21,19,21,28,21,20,32
S01001784,238,38,63,29,32,14,14,25,11,12
S01001785,351,19,59,52,53,46,41,38,28,15
S01001786,313,27,53,54,57,26,23,37,11,25
S01001787,281,28,62,39,52,28,22,24,13,13
S01001788,429,31,75,66,73,51,40,45,17,31
S01001789,354,32,52,41,42,36,39,41,36,35
S01001790,375,28,112,53,52,28,34,29,18,21
S01001791,353,43,95,50,47,25,30,29,13,21
S01001792,349,25,92,54,55,21,33,32,18,19
S01001793,430,70,134,66,52,24,24,26,14,20
S01001794,420,56,115,69,43,30,35,41,11,20
S01001795,245,32,78,52,32,10,13,10,10,8
S01001796,332,56,119,43,43,18,21,15,6,11
S01001797,298,16,44,38,42,39,39,29,23,28
S01001798,388,67,156,56,45,13,18,16,8,9
S01001799,380,20,36,25,31,60,60,41,20,87
S01001800,543,46,112,82,84,43,58,54,31,33
S01001801,465,101,151,66,47,24,23,25,9,19
S01001802,492,60,89,68,75,47,40,40,36,37
S01001803,586,56,120,81,95,56,40,50,39,49
S01001804,508,56,65,66,67,86,47,39,35,47
S01001805,357,28,59,43,46,41,35,39,27,39
S01001806,302,30,80,40,41,24,27,27,11,22
S01001807,390,36,98,63,57,33,26,28,19,30
S01001808,252,23,49,24,43,27,26,16,17,27
S01001809,397,19,48,36,38,44,58,44,18,92
S01001810,437,40,107,54,62,39,43,31,25,36
S01001811,320,38,124,52,33,10,18,22,12,11
S01001812,410,77,148,66,51,13,15,16,9,15
S01001813,370,42,104,60,60,26,14,26,12,26
S01001814,386,34,73,88,58,26,32,42,12,21
S01001815,387,29,87,72,65,23,27,43,18,23
S01001816,528,101,211,79,54,22,30,18,10,3
S01001817,300,21,39,23,32,42,43,22,27,51
S01001818,330,43,127,46,29,12,26,18,12,17
S01001819,440,66,189,64,48,17,25,16,7,8
S01001820,283,12,27,30,27,43,43,28,14,59
S01001821,254,5,24,130,18,11,28,19,4,15
S01001822,538,48,121,62,101,56,38,45,29,38
S01001823,308,20,22,26,33,35,52,33,17,70
S01001824,313,21,59,44,47,35,31,35,12,29
S01001825,427,57,117,69,51,26,28,40,16,23
S01001826,208,8,27,17,22,25,40,15,10,44
S01001827,360,29,42,36,34,42,51,26,35,65
S01001828,407,48,146,75,47,25,15,20,13,18
S01001829,349,40,113,46,38,25,23,20,15,29
S01001830,475,56,153,68,71,22,33,38,11,23
S01001831,371,26,46,47,57,54,54,39,15,33
S01001832,289,30,22,22,31,31,40,32,40,41
S01001833,609,105,219,105,71,27,28,32,10,12
S01001834,269,13,31,26,34,48,42,22,18,35
S01001835,337,64,77,59,32,16,27,26,12,24
S01001836,412,56,114,60,50,29,29,36,20,18
S01001837,468,55,183,65,58,26,19,32,11,19
S01001838,291,22,31,21,39,31,41,36,30,40
S01001839,363,14,39,42,47,47,53,34,22,65
S01001840,300,18,73,51,46,24,28,26,16,18
S01001841,354,27,63,47,43,19,51,52,17,35
S01001842,430,42,113,47,63,46,41,29,18,31
S01001843,311,20,31,34,28,30,42,44,19,63
S01001844,677,48,142,87,79,45,57,109,28,82
S01001845,417,68,121,62,51,25,18,28,20,24
S01001846,435,38,149,64,70,27,27,23,17,20
S01001847,363,16,37,32,48,39,59,38,24,70
S01001848,333,12,33,24,45,33,57,34,24,71
S01001849,253,44,86,42,24,22,14,8,5,8
S01001850,391,36,53,55,70,41,37,42,21,36
S01001851,435,47,103,52,64,48,37,31,26,27
S01001852,368,30,69,59,65,43,35,31,19,17
S01001853,344,54,114,54,46,16,20,14,11,15
S01001854,372,36,87,120,37,12,25,27,11,17
S01001855,392,67,119,53,56,31,17,21,11,17
S01001856,294,8,29,43,36,26,45,43,22,42
S01001857,284,20,29,25,35,25,46,28,27,49
S01001858,374,37,112,66,42,30,21,27,16,23
S01001859,450,25,42,27,57,66,74,55,32,72
S01001860,400,57,170,71,29,14,18,21,8,12
S01001861,376,29,31,32,42,44,57,53,25,63
S01001862,415,28,81,76,76,47,30,32,28,17
S01001863,450,41,78,55,80,47,37,41,42,29
S01001864,534,34,39,42,49,55,80,70,37,128
S01001865,232,6,12,15,22,18,35,37,21,66
S01001866,341,54,121,49,37,23,15,21,8,13
S01001867,322,15,48,28,30,44,45,33,33,46
S01001868,291,33,120,41,30,21,15,12,13,6
S01001869,446,36,102,57,67,36,33,40,29,46
S01001870,356,17,36,26,36,56,65,33,19,68
S01001871,837,111,263,120,100,45,52,52,28,66
S01001872,364,29,60,32,41,51,50,37,23,41
S01001873,354,54,160,49,34,13,19,13,3,9
S01001874,504,22,54,50,54,46,75,54,34,115
S01001875,416,57,204,59,39,9,17,16,5,10
S01001876,457,30,82,44,59,44,48,50,28,72
S01001877,354,20,25,26,40,36,46,49,24,88
S01001878,478,83,206,59,50,19,13,22,6,20
S01001879,237,8,41,14,18,22,36,20,17,61
S01001880,299,8,11,22,36,31,48,35,23,85
S01001881,365,34,85,59,50,45,22,25,26,19
