,All people aged 16 to 74 in employment,"1. Managers, directors and senior officials",2. Professional occupations,3. Associate professional and technical occupations,4. Administrative and secretarial occupations,5. Skilled trades occupations,"6. Caring, leisure and other service occupations",7. Sales and customer service occupations,"8. Process, plant and machine operatives",9. Elementary occupations
S01000121,352,41,114,39,48,24,21,21,17,27
S01000122,359,22,33,29,48,46,60,25,33,63
S01000123,338,50,74,41,47,45,18,18,20,25
S01000124,608,41,143,94,65,56,35,67,27,80
S01000125,344,28,35,47,42,29,36,45,26,56
S01000126,524,29,80,76,53,47,46,69,38,86
S01000127,398,44,172,54,35,21,18,21,12,21
S01000128,930,54,118,103,93,75,67,158,47,215
S01000129,433,24,62,53,34,24,28,96,21,91
S01000130,997,63,216,149,116,86,63,118,39,147
S01000131,409,27,171,72,42,39,7,25,11,15
S01000132,484,34,170,77,48,42,24,31,16,42
S01000133,412,21,25,28,62,57,60,44,52,63
S01000134,331,14,23,23,35,59,30,43,36,68
S01000135,347,19,44,37,36,40,38,46,25,62
S01000136,321,12,30,27,31,38,48,30,45,60
S01000137,610,28,160,89,63,62,42,57,33,76
S01000138,636,25,104,88,59,50,54,126,25,105
S01000139,383,14,47,36,53,56,55,28,37,57
S01000140,447,22,31,50,63,60,67,42,59,53
S01000141,408,26,176,48,41,34,18,22,21,22
S01000142,331,15,35,27,41,43,43,23,34,70
S01000143,288,35,89,48,39,20,12,16,17,12
S01000144,497,23,103,77,60,33,34,77,19,71
S01000145,394,16,36,47,59,51,43,49,35,58
S01000146,997,33,197,124,118,104,78,116,54,173
S01000147,675,23,155,96,80,64,54,72,34,97
S01000148,272,12,16,19,41,42,33,17,32,60
S01000149,701,39,136,98,77,74,36,90,40,111
S01000150,321,9,32,34,40,54,49,26,30,47
S01000151,324,10,22,29,38,43,45,26,36,75
S01000152,734,61,265,110,65,50,50,52,24,57
S01000153,597,28,122,73,61,43,55,82,41,92
S01000154,251,15,24,26,32,44,27,19,23,41
S01000155,355,18,18,20,43,61,42,28,62,63
S01000156,547,22,80,51,40,68,53,74,37,122
S01000157,318,5,47,35,42,39,32,23,28,67
S01000158,473,24,56,35,59,65,61,40,50,83
S01000159,527,56,168,83,65,46,28,23,33,25
S01000160,402,13,23,28,47,64,60,34,53,80
S01000161,487,29,112,63,51,45,38,50,17,82
S01000162,419,34,85,53,42,42,42,24,41,56
S01000163,545,18,37,51,64,80,70,50,76,99
S01000164,464,21,60,58,60,36,28,96,20,85
S01000165,464,24,81,46,52,51,62,36,29,83
S01000166,653,48,123,68,71,61,32,90,17,143
S01000167,342,9,35,29,52,44,43,18,53,59
S01000168,479,16,33,36,61,84,65,47,53,84
S01000169,361,22,45,21,48,56,41,34,35,59
S01000170,623,26,130,86,62,50,35,103,29,102
S01000171,653,67,173,114,95,58,46,34,39,27
S01000172,268,19,43,33,35,28,25,13,22,50
S01000173,396,13,47,30,52,45,43,37,42,87
S01000174,465,54,151,73,71,30,25,22,25,14
S01000175,326,17,63,29,40,31,34,36,22,54
S01000176,408,19,93,55,39,23,29,71,12,67
S01000177,332,16,103,39,47,28,19,19,15,46
S01000178,372,15,32,32,33,51,64,27,46,72
S01000179,367,14,24,28,24,66,57,23,39,92
S01000180,325,20,32,28,45,42,39,25,31,63
S01000181,317,10,27,30,33,50,46,25,29,67
S01000182,459,23,44,45,45,64,58,35,50,95
S01000183,589,30,69,56,45,66,59,72,37,155
S01000184,381,31,113,52,37,36,19,28,33,32
S01000185,417,16,40,41,37,45,46,48,62,82
S01000186,409,39,66,54,56,59,48,28,26,33
S01000187,310,23,18,15,20,48,55,27,44,60
