,All people aged 3 and over,Proficiency in spoken English: Speaks well or very well,Proficiency in spoken English: Does not speak well,Proficiency in spoken English: Does not speak at all,Gaelic: Can speak Gaelic,Scots: Can speak Scots,Language other than English used at home: English only,Language other than English used at home: Gaelic,Language other than English used at home: Scots,Language other than English used at home: British Sign Language,Language other than English used at home: Polish,Language other than English used at home: Other
S01000129,993,980,10,3,10,197,766,7,7,-,23,190
S01000130,"1,529","1,501",27,1,15,414,"1,216",3,18,7,36,249
S01000131,607,606,1,-,7,168,542,3,13,-,6,43
S01000132,735,711,21,3,8,191,591,-,17,1,10,116
S01000133,821,805,16,-,2,324,743,1,19,2,17,39
S01000134,704,693,10,1,8,305,633,-,33,1,8,29
S01000135,639,621,16,2,7,222,524,-,3,1,49,62
S01000136,650,638,10,2,4,300,562,-,19,4,14,51
S01000137,940,915,18,7,10,278,716,2,12,2,39,169
S01000138,"1,351","1,338",12,1,17,322,"1,051",5,19,1,26,249
S01000139,770,759,9,2,2,351,674,-,22,4,8,62
S01000140,835,827,8,-,4,368,778,-,26,-,2,29
S01000141,797,779,14,4,5,228,612,-,30,1,5,149
S01000142,659,642,12,5,3,291,587,-,11,2,15,44
S01000143,599,594,4,1,5,177,527,4,7,-,-,61
S01000144,717,711,6,-,12,173,585,2,4,2,18,106
S01000145,799,791,8,-,3,375,759,-,17,3,1,19
S01000146,"1,501","1,456",36,9,20,424,"1,166",5,14,4,66,246
S01000147,"1,021",996,21,4,7,291,811,2,15,4,31,158
S01000148,573,560,9,4,1,259,523,-,9,7,20,14
S01000149,"1,168","1,131",34,3,15,369,911,2,15,3,50,187
S01000150,592,584,8,-,1,256,543,-,4,2,9,34
S01000151,823,809,12,2,5,358,754,-,17,6,14,32
S01000152,"1,246","1,212",28,6,8,326,979,4,29,2,32,200
S01000153,950,938,11,1,12,304,768,1,17,2,26,136
S01000154,502,496,4,2,1,208,470,-,5,8,3,16
S01000155,717,708,8,1,2,326,679,-,8,1,5,24
S01000156,993,928,53,12,18,275,700,2,21,2,81,187
S01000157,664,643,19,2,5,268,568,-,12,3,16,65
S01000158,895,870,20,5,5,347,746,1,19,6,35,88
S01000159,924,884,40,-,3,263,794,2,11,1,2,114
S01000160,728,719,6,3,-,323,673,-,14,2,10,29
S01000161,896,882,14,-,14,238,750,1,12,-,19,114
S01000162,813,790,18,5,13,294,682,4,21,2,14,90
S01000163,"1,028","1,004",18,6,3,481,940,5,29,12,17,25
S01000164,915,907,8,-,7,287,774,-,9,3,11,118
S01000165,884,862,19,3,3,319,737,-,16,-,29,102
S01000166,"1,245","1,221",23,1,10,319,960,6,17,2,33,227
S01000167,688,675,11,2,3,317,634,1,19,2,6,26
S01000168,939,927,10,2,7,432,873,-,23,3,7,33
S01000169,691,684,7,-,3,301,589,-,25,1,8,68
S01000170,"1,111","1,088",21,2,9,272,873,2,7,2,55,172
S01000171,997,981,15,1,7,304,872,4,12,-,2,107
S01000172,455,447,7,1,3,197,370,-,9,1,5,70
S01000173,824,803,16,5,3,366,678,-,27,1,9,109
S01000174,858,845,12,1,4,253,766,1,5,-,3,83
S01000175,520,512,7,1,2,162,416,1,6,-,14,83
S01000176,752,745,5,2,12,214,609,2,8,-,8,125
S01000177,537,525,10,2,5,191,427,3,14,4,15,74
S01000178,748,728,15,5,1,347,663,-,13,4,16,52
S01000179,830,774,46,10,6,295,620,-,19,1,117,73
S01000180,638,625,12,1,9,294,594,5,9,1,6,23
S01000181,586,583,2,1,4,293,550,-,10,-,7,19
S01000182,886,875,8,3,4,429,806,-,33,-,10,37
S01000183,"1,312","1,242",54,16,20,362,898,6,19,-,101,288
S01000184,715,697,13,5,5,251,606,1,33,2,6,67
S01000185,862,809,37,16,13,304,636,4,21,8,90,103
S01000186,925,912,11,2,2,437,838,-,23,8,17,39
S01000187,616,606,8,2,1,260,537,-,13,-,4,62
S01000188,"1,202","1,174",28,-,16,263,837,3,15,3,46,298
S01000189,595,577,14,4,1,264,538,-,8,-,21,28
S01000190,808,793,13,2,1,409,746,-,9,6,13,34
S01000191,"1,171","1,160",8,3,14,385,935,5,31,5,22,173
S01000192,771,733,33,5,15,266,603,2,13,3,49,101
S01000193,692,678,13,1,6,362,629,-,19,5,16,23
S01000194,820,751,58,11,9,263,579,5,5,6,116,109
S01000195,691,658,30,3,9,219,528,2,11,1,80,69
S01000196,954,923,21,10,11,453,852,-,20,6,42,34
S01000197,565,555,9,1,1,309,524,-,15,-,1,25
S01000198,791,764,25,2,6,340,676,-,18,3,53,41
S01000199,810,716,81,13,5,233,522,-,8,1,172,107
S01000200,795,785,8,2,8,339,704,2,18,2,11,58
S01000201,594,583,8,3,6,220,510,-,11,-,15,58
S01000202,960,921,33,6,5,298,768,1,19,2,50,120
S01000203,658,570,79,9,11,227,357,-,12,2,150,137
S01000204,559,556,3,-,3,261,528,-,10,2,7,12
S01000205,936,893,35,8,8,253,659,6,14,2,75,180
S01000206,687,675,9,3,3,292,617,-,14,5,10,41
S01000207,887,818,61,8,7,321,664,-,17,2,136,68
S01000208,974,886,71,17,3,375,723,-,22,2,161,66
S01000209,"1,325","1,193",108,24,14,462,943,-,18,8,226,130
S01000210,651,619,29,3,13,222,479,3,16,2,74,77
S01000211,702,653,44,5,5,257,478,-,14,2,95,113
S01000212,716,697,18,1,9,296,630,-,11,3,39,33
S01000213,715,684,28,3,11,286,595,3,27,4,38,48
S01000214,440,433,7,-,1,213,413,-,11,1,4,11
S01000215,"1,115","1,098",16,1,3,435,993,1,33,7,17,64
S01000216,628,610,17,1,3,254,553,-,12,-,28,35
S01000217,756,669,78,9,9,288,507,1,14,1,169,64
S01000218,643,630,12,1,4,341,592,-,37,3,5,6
S01000219,792,681,91,20,2,269,473,-,11,1,218,89
S01000220,"2,624","2,585",36,3,32,502,"1,798",5,17,7,63,734
S01000221,818,784,31,3,9,376,747,-,9,3,12,47
S01000222,712,705,6,1,5,351,684,-,10,1,5,12
S01000223,581,571,9,1,3,235,513,2,13,2,21,30
S01000224,814,810,4,-,1,418,762,-,28,1,2,21
S01000225,563,560,3,-,3,278,510,-,29,1,7,16
S01000226,586,580,6,-,2,232,520,-,12,1,8,45
S01000227,"1,275","1,254",21,-,7,391,"1,150",5,9,1,6,104
S01000228,793,777,15,1,4,335,702,-,23,4,24,40
S01000229,801,784,9,8,10,367,741,2,25,2,17,14
S01000230,600,596,4,-,7,255,545,2,16,1,17,19
S01000231,677,675,2,-,4,279,641,2,17,3,-,14
S01000232,601,594,7,-,-,286,541,1,23,3,4,29
S01000233,488,477,11,-,4,232,429,3,19,-,13,24
S01000234,683,682,1,-,2,284,666,-,10,-,-,7
S01000235,816,810,6,-,4,286,770,2,13,-,7,24
S01000236,655,645,6,4,2,321,601,-,19,1,13,21
S01000237,800,796,4,-,-,400,741,-,32,-,-,27
S01000238,469,461,8,-,2,182,435,-,6,-,4,24
S01000239,675,667,6,2,5,317,606,2,25,-,7,35
S01000240,622,620,2,-,2,273,593,-,18,2,-,9
S01000241,586,580,4,2,3,204,526,1,12,6,-,41
S01000242,723,702,19,2,8,270,621,2,20,2,4,74
S01000243,630,626,3,1,2,274,592,1,14,-,4,19
S01000244,"1,108","1,086",15,7,6,522,"1,027",-,28,4,20,29
S01000245,929,920,9,-,3,376,850,1,25,3,2,48
S01000246,668,654,13,1,1,282,620,-,13,-,8,27
S01000247,642,633,7,2,6,271,611,1,14,1,8,7
S01000248,729,723,6,-,1,310,671,-,18,1,2,37
S01000249,636,617,14,5,1,293,579,1,15,-,7,34
S01000250,808,797,7,4,3,298,719,2,9,2,-,76
S01000251,453,444,4,5,1,129,402,-,5,-,1,45
S01000252,756,751,5,-,5,289,692,2,10,-,11,41
S01000253,635,619,13,3,3,218,563,2,9,2,-,59
S01000254,806,791,6,9,6,287,722,-,9,1,8,66
S01000255,571,569,2,-,7,245,530,1,20,-,4,16
S01000256,792,783,8,1,1,366,710,-,33,2,3,44
S01000257,896,886,10,-,4,376,810,-,30,1,7,48
S01000258,597,594,3,-,6,226,558,4,15,-,1,19
S01000259,589,579,8,2,3,245,546,-,10,-,-,33
S01000260,810,803,7,-,3,323,736,-,6,-,4,64
S01000261,881,872,7,2,6,403,813,-,43,1,11,13
S01000262,884,875,8,1,5,365,827,1,19,5,15,17
S01000263,793,770,21,2,10,273,705,2,19,3,-,64
S01000264,884,869,13,2,3,419,807,-,19,4,9,45
S01000265,688,679,8,1,4,351,612,-,39,3,7,27
S01000266,"1,203","1,182",17,4,5,480,"1,116",2,26,7,4,48
S01000267,699,694,4,1,7,346,636,2,32,2,6,21
S01000268,793,785,8,-,6,383,763,-,24,-,3,3
S01000269,613,609,4,-,4,225,586,-,3,-,4,20
S01000270,999,995,3,1,7,446,956,1,22,4,3,13
S01000271,848,837,11,-,2,331,805,-,18,4,4,17
S01000272,"1,083","1,050",22,11,4,487,969,3,24,2,7,78
S01000273,596,592,4,-,3,215,564,-,9,-,1,22
S01000274,647,639,8,-,2,309,612,-,12,6,7,10
S01000275,"1,371","1,356",12,3,2,707,"1,276",-,46,3,17,29
S01000276,756,750,5,1,6,263,711,7,22,-,-,16
S01000277,694,690,3,1,6,284,670,2,8,1,-,13
S01000278,558,553,4,1,-,240,535,-,7,-,8,8
S01000279,927,920,7,-,1,390,884,-,28,4,-,11
S01000280,721,710,8,3,3,291,652,2,22,3,17,25
S01000281,646,638,7,1,2,279,607,-,19,2,8,10
S01000282,718,710,7,1,3,314,670,-,16,5,3,24
S01000283,"1,051","1,041",9,1,1,404,"1,000",-,25,3,5,18
S01000284,"1,207","1,194",13,-,3,421,"1,133",-,45,1,3,25
S01000285,704,698,5,1,5,313,671,1,16,-,-,16
S01000286,888,878,7,3,7,394,816,1,27,3,23,18
S01000287,721,711,10,-,6,243,697,1,6,-,-,17
S01000288,777,771,4,2,5,313,745,2,11,-,11,8
S01000289,863,858,5,-,6,380,804,1,20,1,2,35
S01000290,788,774,12,2,8,396,734,-,27,1,17,9
S01000291,931,914,16,1,6,360,884,4,19,6,-,18
S01000292,996,986,10,-,1,356,930,-,42,1,9,14
S01000293,815,796,16,3,6,316,736,-,22,4,25,28
S01000294,623,620,3,-,2,229,599,-,8,-,3,13
S01000295,528,525,3,-,2,188,499,-,16,-,-,13
S01000296,932,925,5,2,1,320,880,-,13,5,11,23
S01000297,716,713,2,1,1,310,685,-,22,1,-,8
S01000298,"1,085","1,070",14,1,6,345,"1,010",-,23,-,12,40
S01000299,996,992,4,-,3,289,924,3,34,-,8,27
S01000300,742,738,4,-,7,317,671,2,49,-,1,19
S01000301,544,536,8,-,6,229,498,1,11,1,9,24
S01000302,611,608,2,1,2,283,548,-,47,-,1,15
S01000303,567,564,3,-,1,212,511,-,23,3,10,20
S01000304,807,806,1,-,3,275,781,1,15,-,-,10
S01000305,"1,010","1,006",3,1,9,429,953,5,28,-,4,20
S01000306,768,765,1,2,5,304,704,-,52,-,2,10
S01000307,882,867,9,6,2,285,839,-,14,3,-,26
S01000308,"1,182","1,176",6,-,4,449,"1,120",1,17,2,2,40
S01000309,"1,153","1,138",13,2,7,414,"1,054",-,44,2,20,33
S01000310,925,921,3,1,6,361,892,3,13,2,1,14
S01000311,911,887,17,7,4,297,805,-,27,2,49,28
S01000312,534,526,6,2,4,262,483,-,15,5,10,21
S01000313,661,656,4,1,8,254,611,-,23,-,-,27
S01000314,540,534,6,-,3,251,504,2,17,-,3,14
S01000315,645,643,2,-,5,195,609,-,9,-,4,23
S01000316,875,868,7,-,10,373,814,1,40,-,7,13
S01000317,530,519,11,-,3,283,476,-,23,-,17,14
S01000318,538,536,2,-,2,159,510,-,7,-,8,13
S01000319,685,679,6,-,2,220,665,1,7,3,-,9
S01000320,652,648,4,-,2,277,625,-,9,-,2,16
S01000321,570,569,1,-,2,223,537,-,20,3,-,10
S01000322,970,964,6,-,6,286,921,-,12,-,12,25
S01000323,848,846,2,-,6,395,799,-,34,1,2,12
S01000324,805,803,2,-,2,351,784,-,8,1,1,11
S01000325,"1,217","1,203",13,1,3,456,"1,110",1,25,4,9,68
S01000326,786,782,4,-,4,354,750,-,18,-,-,18
S01000327,793,788,5,-,5,367,771,1,10,-,-,11
S01000328,511,509,1,1,7,192,481,1,11,4,4,10
S01000329,776,770,6,-,3,309,713,-,26,-,12,25
S01000330,"1,259","1,250",6,3,9,449,"1,154",2,47,1,12,43
S01000331,552,545,7,-,1,289,516,-,25,5,-,6
S01000332,706,703,2,1,2,202,660,1,16,2,7,20
S01000333,927,912,13,2,4,296,836,1,22,2,8,58
S01000334,867,855,7,5,4,426,806,-,42,4,-,15
S01000335,756,749,6,1,7,304,709,1,24,2,-,20
S01000336,"1,365","1,346",16,3,10,419,"1,221",3,26,-,28,87
S01000337,810,798,10,2,3,271,740,2,34,2,5,27
S01000338,478,472,6,-,3,229,431,-,20,-,4,23
S01000339,"1,198","1,184",11,3,18,522,"1,121",-,45,3,6,23
S01000340,"1,034","1,028",6,-,7,525,962,-,37,-,5,30
S01000341,978,964,14,-,17,473,877,-,74,1,7,19
S01000342,457,455,2,-,5,238,389,-,44,2,8,14
S01000343,573,559,13,1,5,260,529,1,27,-,11,5
S01000344,966,955,11,-,9,507,847,1,81,1,3,33
S01000345,601,597,3,1,4,234,551,-,15,-,2,33
S01000346,622,618,4,-,2,265,589,1,19,-,1,12
S01000347,"1,509","1,486",20,3,5,507,"1,353",-,27,-,5,124
S01000348,712,705,7,-,2,279,656,-,14,-,4,38
S01000349,511,508,3,-,9,214,464,5,15,-,-,27
S01000350,"1,036","1,030",6,-,1,348,951,1,6,1,8,69
S01000351,920,912,5,3,11,291,838,1,14,-,2,65
S01000352,688,684,2,2,2,237,645,-,15,-,5,23
S01000353,493,491,2,-,5,162,453,1,10,-,-,29
S01000354,"1,498","1,488",9,1,7,475,"1,394",-,18,2,-,84
S01000355,601,600,1,-,2,226,566,-,16,-,2,17
S01000356,624,615,9,-,1,280,568,-,36,2,6,12
S01000357,561,561,-,-,-,199,526,-,17,-,-,18
S01000358,866,864,2,-,4,296,814,-,25,-,-,27
S01000359,821,818,2,1,6,234,771,-,4,-,-,46
S01000360,519,515,3,1,4,266,443,-,52,-,-,24
S01000361,656,650,6,-,3,286,611,1,21,2,4,17
S01000362,938,908,23,7,11,427,832,1,40,-,32,33
S01000363,"1,127","1,119",7,1,13,478,"1,035",5,53,3,5,26
S01000364,927,915,12,-,12,447,846,3,54,3,2,19
S01000365,"1,901","1,878",21,2,7,691,"1,768",-,36,2,5,90
S01000366,"1,966","1,930",32,4,8,863,"1,804",6,78,8,19,51
S01000367,818,811,6,1,5,362,762,2,38,1,-,15
S01000368,"1,240","1,233",7,-,4,599,"1,139",1,70,1,3,26
S01000369,908,895,12,1,3,393,830,-,55,-,4,19
S01000370,"1,413","1,400",11,2,9,561,"1,275",-,39,3,3,93
S01000371,908,901,5,2,10,468,820,-,84,-,2,2
S01000372,922,908,10,4,5,427,848,-,38,5,4,27
S01000373,649,646,3,-,4,264,604,1,20,1,5,18
S01000374,627,620,7,-,11,356,577,2,43,-,-,5
S01000375,585,578,7,-,3,299,540,-,29,2,4,10
S01000376,797,787,8,2,6,440,726,-,43,-,8,20
S01000377,813,800,6,7,4,345,746,1,28,-,7,31
S01000378,531,528,3,-,9,278,510,3,14,1,-,3
S01000379,629,627,2,-,5,255,594,-,23,2,-,10
S01000380,913,905,7,1,2,312,860,-,26,1,-,26
S01000381,"1,530","1,521",8,1,13,679,"1,422",7,52,2,3,44
S01000382,717,716,1,-,5,281,659,3,35,1,-,19
S01000383,"1,100","1,088",9,3,8,474,"1,030",2,38,3,7,20
S01000384,687,682,4,1,11,334,629,-,47,1,1,9
S01000385,584,581,2,1,3,233,552,-,10,-,9,13
S01000386,"1,193","1,182",11,-,7,539,"1,086",-,61,1,17,28
S01000387,838,830,3,5,3,400,753,-,58,6,3,18
S01000388,"1,037","1,031",6,-,6,410,983,1,33,2,1,17
S01000389,812,806,5,1,6,316,771,-,9,3,4,25
S01000390,791,780,11,-,9,438,732,-,33,2,7,17
S01000391,703,681,21,1,4,347,628,-,35,-,12,28
S01000392,770,761,9,-,8,315,711,5,23,-,2,29
S01000393,865,847,17,1,4,435,768,3,61,5,5,23
S01000394,662,649,12,1,2,380,609,-,28,-,11,14
S01000395,773,769,4,-,4,382,701,1,53,-,-,18
S01000396,810,797,13,-,5,481,725,1,68,2,-,14
S01000397,924,907,13,4,1,528,852,-,58,2,3,9
S01000398,"2,241","2,212",23,6,7,883,"2,052",-,87,5,18,79
S01000399,585,543,33,9,3,269,477,-,23,-,39,46
S01000400,784,739,24,21,3,415,681,-,37,1,43,22
S01000401,879,864,13,2,7,409,800,-,66,-,-,13
S01000402,725,716,9,-,5,403,675,1,38,-,2,9
S01000403,764,745,17,2,2,389,680,-,47,2,14,21
S01000404,687,677,3,7,1,356,634,-,34,-,12,7
S01000405,507,504,2,1,1,247,477,-,29,-,-,1
S01000406,513,503,6,4,5,267,449,1,32,-,5,26
S01000407,583,571,11,1,6,334,545,-,20,4,12,2
S01000408,581,575,6,-,3,281,538,-,22,-,1,20
S01000409,561,547,13,1,3,300,524,-,16,2,13,6
S01000410,723,704,13,6,2,272,648,-,29,-,16,30
S01000411,680,672,7,1,4,273,629,1,15,-,7,28
S01000412,764,758,2,4,10,354,711,4,31,-,1,17
S01000413,845,842,2,1,5,364,767,-,50,7,2,19
S01000414,664,663,1,-,4,306,613,-,34,-,-,17
S01000415,886,878,8,-,6,483,811,-,53,-,2,20
S01000416,864,856,8,-,10,439,795,4,42,-,5,18
S01000417,980,970,8,2,6,549,913,1,54,-,2,10
S01000418,693,683,8,2,2,365,609,-,69,2,-,13
S01000419,"1,434","1,408",23,3,8,575,"1,315",2,37,1,35,44
S01000420,"1,279","1,263",16,-,10,606,"1,185",3,44,1,8,38
S01000421,750,736,14,-,6,307,678,1,43,1,5,22
S01000422,909,900,8,1,7,408,813,2,78,1,-,15
S01000423,988,984,3,1,2,440,933,1,36,-,-,18
S01000424,713,708,4,1,7,318,654,-,41,-,2,16
S01000425,814,808,5,1,2,398,752,-,44,2,3,13
S01000426,791,782,7,2,3,392,727,-,35,2,-,27
S01000427,717,708,6,3,4,341,654,1,29,-,10,23
S01000428,650,646,4,-,5,309,587,-,54,-,4,5
S01000429,851,833,16,2,3,432,761,2,58,1,16,13
S01000430,489,485,3,1,-,241,457,-,24,-,-,8
S01000431,699,689,10,-,6,373,643,-,42,-,2,12
S01000432,872,868,4,-,2,440,800,-,44,1,2,25
S01000433,492,479,11,2,4,282,451,3,30,-,3,5
S01000434,589,586,2,1,4,283,564,-,16,3,-,6
S01000435,497,489,4,4,4,281,438,3,49,1,6,-
S01000436,609,604,5,-,2,313,575,-,22,1,1,10
S01000437,921,908,11,2,11,456,829,4,60,-,10,18
S01000438,583,574,8,1,1,238,536,-,28,1,1,17
S01000439,798,794,2,2,2,361,749,1,30,-,-,18
S01000440,"1,046","1,037",9,-,13,504,935,2,81,-,-,28
S01000441,872,855,15,2,7,465,748,3,88,1,-,32
S01000442,816,801,15,-,3,379,753,-,38,-,4,21
S01000443,582,577,5,-,5,260,549,1,21,-,-,11
S01000444,"2,366","2,343",18,5,8,898,"2,224",-,48,5,6,83
S01000445,"1,166","1,159",7,-,7,543,"1,108",-,48,-,-,10
S01000446,923,915,8,-,2,410,847,2,42,1,-,31
S01000447,740,735,3,2,5,401,678,-,44,1,7,10
S01000448,822,815,5,2,7,429,740,-,65,1,4,12
S01000449,727,713,12,2,1,358,682,-,34,1,-,10
S01000450,545,542,3,-,3,267,521,2,14,-,-,8
S01000451,829,822,3,4,5,344,767,-,46,-,5,11
S01000452,562,550,10,2,4,274,520,1,29,3,-,9
S01000453,561,558,3,-,4,299,481,3,61,-,-,16
