,All people aged 3 and over,Proficiency in spoken English: Speaks well or very well,Proficiency in spoken English: Does not speak well,Proficiency in spoken English: Does not speak at all,Gaelic: Can speak Gaelic,Scots: Can speak Scots,Language other than English used at home: English only,Language other than English used at home: Gaelic,Language other than English used at home: Scots,Language other than English used at home: British Sign Language,Language other than English used at home: Polish,Language other than English used at home: Other
S92000003,"5,118,223","5,044,683","62,128","11,412","57,602","1,541,693","4,740,547","24,974","55,817","12,533","54,186","230,166"
S01000001,834,822,12,-,6,274,765,1,10,-,7,51
S01000002,632,631,1,-,6,214,579,3,11,-,-,39
S01000003,760,751,8,1,3,318,704,-,14,2,7,33
S01000004,593,589,3,1,5,239,552,1,15,-,2,23
S01000005,618,615,3,-,5,236,561,1,20,1,3,32
S01000006,626,621,5,-,8,236,597,-,8,-,2,19
S01000007,738,733,3,2,1,255,697,-,10,1,4,26
S01000008,559,552,7,-,3,250,496,-,29,1,-,33
S01000009,665,662,3,-,1,298,633,-,24,2,2,4
S01000010,508,505,-,3,1,242,476,-,17,-,2,13
S01000011,"1,019","1,007",8,4,4,225,867,3,8,2,8,131
S01000012,"1,446","1,428",16,2,12,582,"1,298",2,29,1,15,101
S01000013,815,810,4,1,1,347,736,-,29,1,5,44
S01000014,860,849,8,3,4,383,809,-,20,6,6,19
S01000015,645,638,5,2,1,259,598,1,5,3,8,30
S01000016,527,517,9,1,4,98,442,1,5,1,-,78
S01000017,818,805,13,-,8,355,775,4,12,1,8,18
S01000018,499,494,5,-,-,220,464,-,4,1,3,27
S01000019,631,618,12,1,1,215,585,-,6,2,5,33
S01000020,895,875,18,2,2,173,796,2,4,2,3,88
S01000021,841,824,13,4,5,413,753,1,40,5,4,38
S01000022,613,613,-,-,3,142,552,-,11,-,6,44
S01000023,745,734,10,1,2,171,667,-,13,2,3,60
S01000024,504,500,4,-,1,169,440,-,11,-,5,48
S01000025,850,836,12,2,8,177,737,7,8,1,1,96
S01000026,813,793,19,1,8,396,724,2,18,4,30,35
S01000027,778,770,8,-,2,217,667,1,4,-,2,104
S01000028,891,872,18,1,1,393,808,-,19,8,22,34
S01000029,707,686,17,4,-,105,544,1,-,-,-,162
S01000030,435,428,7,-,2,207,409,-,10,3,5,8
S01000031,910,906,3,1,7,224,829,2,9,1,2,67
S01000032,"1,031","1,019",10,2,6,518,952,1,22,3,17,36
S01000033,759,746,13,-,5,343,688,-,24,2,21,24
S01000034,"1,179","1,173",6,-,15,224,"1,027",6,19,1,2,124
S01000035,"1,003",981,22,-,12,332,813,3,25,5,38,119
S01000036,660,651,5,4,2,280,609,1,13,5,14,18
S01000037,743,712,27,4,2,284,671,-,12,3,34,23
S01000038,662,651,10,1,2,316,604,-,18,3,6,31
S01000039,873,867,4,2,3,370,772,-,28,2,18,53
S01000040,906,893,12,1,2,431,844,1,24,2,15,20
S01000041,803,792,11,-,3,332,732,-,17,3,12,39
S01000042,738,730,8,-,2,307,666,-,21,-,-,51
S01000043,867,848,10,9,2,335,724,-,13,3,6,121
S01000044,928,892,33,3,8,359,802,2,14,2,47,61
S01000045,548,543,4,1,9,170,493,6,11,1,3,34
S01000046,730,724,6,-,12,255,671,8,24,-,2,25
S01000047,791,773,15,3,11,260,681,4,19,3,19,65
S01000048,918,914,4,-,3,317,814,-,22,-,7,75
S01000049,722,720,2,-,-,252,685,-,10,-,4,23
S01000050,723,712,7,4,5,246,665,-,12,1,2,43
S01000051,771,770,-,1,8,268,723,1,17,-,-,30
S01000052,605,585,16,4,7,294,554,3,11,3,19,15
S01000053,"1,081","1,065",14,2,13,366,959,1,17,-,15,89
S01000054,761,758,3,-,6,267,695,3,16,2,7,38
S01000055,771,713,46,12,8,334,605,1,17,7,69,72
S01000056,989,985,4,-,4,253,872,5,24,-,4,84
S01000057,670,634,31,5,4,316,559,-,16,6,53,36
S01000058,683,677,4,2,6,206,624,1,12,-,4,42
S01000059,912,895,14,3,9,223,773,4,8,3,11,113
S01000060,601,546,46,9,11,252,457,-,17,13,82,32
S01000061,973,966,6,1,5,273,893,3,6,3,-,68
S01000062,"1,002",986,12,4,12,298,862,7,14,-,3,116
S01000063,876,870,6,-,4,262,812,-,5,1,1,57
S01000064,599,575,16,8,3,260,494,-,18,7,36,44
S01000065,977,966,8,3,22,343,831,9,27,2,26,82
S01000066,937,863,58,16,10,404,722,1,37,7,107,63
S01000067,"1,028","1,018",9,1,16,316,886,9,20,-,4,109
S01000068,851,840,8,3,4,231,763,-,10,1,3,74
S01000069,696,668,26,2,6,312,605,-,18,-,48,25
S01000070,631,581,42,8,3,255,515,-,15,-,54,47
S01000071,772,714,48,10,7,301,598,1,9,3,93,68
S01000072,880,866,13,1,5,308,799,4,9,3,10,55
S01000073,613,606,4,3,3,170,582,1,8,1,1,20
S01000074,819,770,38,11,5,347,670,-,8,2,79,60
S01000075,527,523,2,2,4,182,466,1,5,3,7,45
S01000076,700,693,6,1,4,257,659,-,10,2,2,27
S01000077,910,900,10,-,1,212,800,-,8,-,10,92
S01000078,"1,046",919,98,29,11,325,659,-,18,-,214,155
S01000079,"1,398","1,377",17,4,10,374,"1,172",-,14,2,19,191
S01000080,980,967,10,3,11,319,833,5,20,3,27,92
S01000081,877,861,15,1,13,240,791,8,12,1,7,58
S01000082,908,868,33,7,5,400,792,1,26,5,40,44
S01000083,750,742,8,-,2,216,643,-,7,1,10,89
S01000084,822,727,68,27,13,280,575,1,13,6,113,114
S01000085,513,505,7,1,4,145,435,-,15,-,14,49
S01000086,699,684,13,2,4,186,579,1,15,1,14,89
S01000087,"1,034","1,015",16,3,6,241,870,4,12,1,4,143
S01000088,909,896,12,1,8,257,773,-,6,-,6,124
S01000089,921,906,12,3,7,284,857,1,24,1,-,38
S01000090,748,737,10,1,2,164,627,-,6,2,7,106
S01000091,"1,074","1,028",39,7,16,283,873,2,22,2,43,132
S01000092,890,876,13,1,10,270,678,1,8,4,32,167
S01000093,707,691,13,3,11,201,563,3,15,2,26,98
S01000094,699,688,9,2,8,192,562,4,14,3,15,101
S01000095,700,689,9,2,6,175,598,1,4,-,6,91
S01000096,673,655,13,5,3,230,602,1,12,-,18,40
S01000097,974,965,9,-,8,197,851,4,7,-,-,112
S01000098,"1,203","1,179",18,6,12,303,917,1,12,2,46,225
S01000099,789,779,10,-,2,268,714,-,18,-,2,55
S01000100,847,830,16,1,8,222,660,2,11,-,21,153
S01000101,856,847,8,1,7,223,756,6,10,-,1,83
S01000102,780,767,13,-,3,247,625,-,18,1,31,105
S01000103,607,597,10,-,5,128,479,1,11,-,20,96
S01000104,873,858,13,2,4,197,778,3,2,2,-,88
S01000105,842,837,5,-,-,299,767,-,7,3,4,61
S01000106,706,695,7,4,4,158,623,-,10,-,6,67
S01000107,"1,236","1,210",23,3,12,326,922,3,18,3,74,216
S01000108,730,685,39,6,8,214,593,1,13,-,41,82
S01000109,"1,009",989,15,5,19,300,804,3,19,5,23,155
S01000110,825,816,7,2,5,315,760,4,14,3,-,44
S01000111,758,744,14,-,4,164,640,-,6,1,8,103
S01000112,957,911,38,8,16,306,728,11,14,-,40,164
S01000113,594,578,11,5,4,126,489,1,8,-,4,92
S01000114,774,754,16,4,9,272,621,1,8,4,18,122
S01000115,808,790,15,3,4,364,730,2,15,2,14,45
S01000116,901,875,23,3,5,250,715,2,14,-,21,149
S01000117,998,992,6,-,7,261,890,5,19,1,4,79
S01000118,691,684,6,1,7,290,626,2,12,2,8,41
S01000119,817,801,13,3,13,294,668,4,13,5,31,96
S01000120,542,531,10,1,3,118,426,2,5,-,5,104
S01000121,708,695,12,1,4,249,644,-,18,5,-,41
S01000122,674,660,11,3,2,301,592,-,20,6,11,45
S01000123,652,649,3,-,2,209,574,1,14,1,9,53
S01000124,966,947,19,-,9,253,747,1,12,2,44,160
S01000125,621,590,25,6,11,233,505,7,17,-,24,68
S01000126,929,891,30,8,7,276,726,2,33,5,50,113
S01000127,745,724,16,5,6,213,671,-,13,2,3,56
S01000128,"1,774","1,737",29,8,26,484,"1,354",6,17,1,59,337
