,All people,England,Northern Ireland,Scotland,Wales,Republic of Ireland,Other EU: Member countries in March 2001 (1),Other EU: Accession countries April 2001 to March 2011,Other countries
S92000003,5295403,459486,36655,4411884,17381,22952,59031,78254,209760
S01000001,872,129,6,648,3,1,16,20,49
S01000002,678,41,2,581,0,0,9,2,43
S01000003,788,41,3,694,2,0,7,16,25
S01000004,612,50,4,527,1,0,1,5,24
S01000005,643,79,1,506,2,0,7,7,41
S01000006,644,54,2,550,5,1,5,4,23
S01000007,751,90,2,598,4,0,8,4,45
S01000008,580,51,0,491,1,0,1,2,34
S01000009,681,34,0,622,0,5,4,3,13
S01000010,514,29,2,455,1,1,3,2,21
S01000011,1043,126,4,680,11,11,73,12,126
S01000012,1528,82,5,1267,7,7,15,27,118
S01000013,836,61,4,702,2,4,15,4,44
S01000014,881,74,3,756,1,2,18,6,21
S01000015,669,36,7,580,1,2,2,16,25
S01000016,540,93,2,329,4,5,48,6,53
S01000017,848,41,2,759,4,0,6,10,26
S01000018,520,28,7,457,1,1,1,3,22
S01000019,648,77,0,502,6,0,9,7,47
S01000020,914,143,7,575,10,5,73,3,98
S01000021,861,44,4,764,0,3,6,6,34
S01000022,627,124,8,408,5,0,19,6,57
S01000023,762,111,6,523,9,11,13,4,85
S01000024,519,95,5,348,0,0,13,5,53
S01000025,865,143,3,543,9,5,37,4,121
S01000026,849,33,1,743,3,0,7,33,29
S01000027,798,75,4,577,2,1,24,8,107
S01000028,919,44,4,796,2,5,8,22,38
S01000029,729,114,6,403,2,2,47,2,153
S01000030,449,8,0,417,1,0,2,5,16
S01000031,941,131,10,666,9,5,31,7,82
S01000032,1063,42,5,958,0,0,9,26,23
S01000033,802,31,5,712,0,0,6,21,27
S01000034,1238,223,16,799,6,3,61,4,126
S01000035,1034,63,2,740,1,19,8,47,154
S01000036,683,33,1,568,0,13,3,17,48
S01000037,765,52,0,622,2,2,9,40,38
S01000038,678,28,0,601,0,2,2,16,29
S01000039,902,55,5,736,1,9,10,26,60
S01000040,934,35,6,841,1,1,1,19,30
S01000041,831,63,2,691,2,0,6,16,51
S01000042,755,37,2,632,3,3,4,1,73
S01000043,896,62,3,644,3,15,12,19,138
S01000044,959,45,1,777,2,11,13,64,46
S01000045,569,46,3,483,2,2,2,4,27
S01000046,754,60,5,624,4,2,10,9,40
S01000047,807,68,6,598,4,8,12,28,83
S01000048,960,89,4,741,5,10,9,13,89
S01000049,747,77,2,605,1,6,11,5,40
S01000050,744,63,3,591,4,6,12,7,58
S01000051,797,48,3,699,0,3,1,0,43
S01000052,627,18,0,571,0,1,0,30,7
S01000053,1100,103,7,843,1,5,22,25,94
S01000054,801,69,0,670,1,2,10,10,39
S01000055,803,42,2,605,2,1,5,106,40
S01000056,1014,159,7,713,6,2,41,5,81
S01000057,699,31,5,564,1,0,7,62,29
S01000058,712,67,2,555,3,2,26,4,53
S01000059,957,120,9,659,4,10,50,13,92
S01000060,634,28,0,481,3,0,6,98,18
S01000061,1001,93,8,747,8,8,26,6,105
S01000062,1038,107,3,736,7,5,36,21,123
S01000063,910,86,11,701,3,7,22,6,74
S01000064,623,29,5,488,1,0,6,60,34
S01000065,1002,69,8,772,1,7,11,44,90
S01000066,959,62,5,669,4,4,10,151,54
S01000067,1065,85,7,805,8,9,19,9,123
S01000068,879,92,6,630,4,4,26,7,110
S01000069,718,24,2,586,3,4,4,66,29
S01000070,658,33,1,514,2,1,6,73,28
S01000071,812,40,4,589,5,1,4,141,28
S01000072,907,73,3,722,4,2,16,10,77
S01000073,630,40,4,549,4,0,8,0,25
S01000074,870,36,2,680,3,1,10,115,23
S01000075,539,44,2,407,4,5,8,16,53
S01000076,721,52,0,624,4,1,11,3,26
S01000077,951,112,7,679,8,5,40,17,83
S01000078,1097,72,4,575,2,6,20,284,134
S01000079,1448,185,12,915,12,32,41,33,218
S01000080,1015,101,8,699,13,7,30,44,113
S01000081,889,74,6,698,5,5,31,9,61
S01000082,933,59,2,759,3,2,9,61,38
S01000083,774,90,2,525,2,16,31,17,91
S01000084,859,54,4,520,6,11,18,184,62
S01000085,520,61,7,340,4,1,11,28,68
S01000086,725,104,6,436,5,13,43,21,97
S01000087,1071,131,9,709,5,4,30,9,174
S01000088,934,111,11,608,3,5,17,23,156
S01000089,947,84,6,778,5,2,20,2,50
S01000090,769,99,11,481,3,8,50,19,98
S01000091,1096,106,16,706,5,10,37,70,146
S01000092,906,88,7,527,5,13,35,58,173
S01000093,735,82,4,456,2,12,9,54,116
S01000094,712,80,11,427,4,24,27,21,118
S01000095,717,86,12,464,2,9,24,10,110
S01000096,690,39,0,559,1,1,14,27,49
S01000097,1001,122,10,670,5,12,58,1,123
S01000098,1240,123,4,713,1,37,52,89,221
S01000099,811,74,5,635,3,4,22,5,63
S01000100,871,86,3,497,2,16,23,44,200
S01000101,888,128,9,610,9,5,30,7,90
S01000102,795,66,8,539,3,5,20,45,109
S01000103,628,87,10,367,3,10,36,24,91
S01000104,905,113,6,632,3,3,64,1,83
S01000105,870,66,2,696,3,9,9,13,72
S01000106,724,108,4,489,4,4,39,11,65
S01000107,1269,113,5,698,3,21,53,135,241
S01000108,753,89,3,485,4,8,29,54,81
S01000109,1019,115,11,635,2,25,33,58,140
S01000110,846,49,3,719,2,1,2,1,69
S01000111,791,91,2,518,1,6,30,18,125
S01000112,983,86,7,670,3,11,26,54,126
S01000113,607,61,1,414,0,11,50,6,64
S01000114,814,43,3,596,3,1,8,33,127
S01000115,838,45,2,712,3,0,7,19,50
S01000116,923,85,8,563,8,6,57,49,147
S01000117,1033,117,6,778,1,8,19,11,93
S01000118,712,62,1,569,1,1,10,9,59
S01000119,835,84,7,553,6,15,27,40,103
S01000120,566,64,8,332,5,9,37,21,90
S01000121,718,61,6,582,1,0,17,1,50
S01000122,701,32,3,587,2,2,9,18,48
S01000123,673,63,5,500,7,5,17,12,64
S01000124,988,96,3,570,12,39,41,67,160
S01000125,648,42,2,484,3,3,12,38,64
S01000126,945,100,24,605,4,6,26,81,99
S01000127,766,83,5,592,2,0,23,7,54
S01000128,1804,162,17,1017,5,78,104,134,287
S01000129,1005,216,17,429,3,19,55,76,190
S01000130,1557,194,24,929,12,19,42,71,266
S01000131,622,75,6,439,5,12,19,7,59
S01000132,757,93,9,480,0,11,32,23,109
S01000133,878,44,3,768,0,0,4,20,39
S01000134,728,28,2,652,0,0,1,8,37
S01000135,687,44,3,493,2,5,13,65,62
S01000136,675,25,3,558,0,2,0,17,70
S01000137,967,79,6,629,1,9,44,57,142
S01000138,1373,205,26,729,5,30,75,66,237
S01000139,790,32,1,661,4,0,6,13,73
S01000140,853,41,7,771,1,2,2,6,23
S01000141,826,90,9,563,2,3,23,9,127
S01000142,685,36,2,577,1,3,2,16,48
S01000143,618,45,2,490,1,1,4,8,67
S01000144,730,108,17,431,4,17,29,28,96
S01000145,815,43,5,733,2,0,7,2,23
S01000146,1537,157,11,912,9,18,41,119,270
S01000147,1042,105,10,662,3,9,32,56,165
S01000148,605,20,5,537,0,0,4,21,18
S01000149,1180,137,12,691,3,16,27,92,202
S01000150,619,27,3,537,1,0,2,9,40
S01000151,865,22,1,784,0,2,8,13,35
S01000152,1288,130,16,844,2,9,59,51,177
S01000153,963,110,9,623,5,6,28,51,131
S01000154,524,19,1,478,1,2,2,3,18
S01000155,739,21,1,671,1,1,6,18,20
S01000156,1031,118,6,549,5,13,45,134,161
S01000157,691,18,5,558,0,1,9,25,75
S01000158,926,44,3,728,2,6,14,40,89
S01000159,976,61,2,768,2,2,9,6,126
S01000160,761,30,2,692,1,0,1,12,23
S01000161,915,139,23,556,4,17,27,37,112
S01000162,830,60,5,617,5,3,20,48,72
S01000163,1057,27,6,957,2,0,5,26,34
S01000164,929,135,8,587,4,12,26,34,123
S01000165,914,49,8,697,6,6,13,43,92
S01000166,1274,157,24,716,2,22,72,86,195
S01000167,701,27,2,631,2,6,5,6,22
S01000168,975,37,2,874,2,1,7,11,41
S01000169,712,19,0,609,0,1,4,8,71
S01000170,1133,125,20,654,10,13,47,82,182
S01000171,1079,94,4,839,10,5,10,3,114
S01000172,471,28,4,359,0,2,4,15,59
S01000173,849,32,3,668,0,1,8,28,109
S01000174,900,88,7,675,3,6,8,5,108
S01000175,536,61,5,330,1,3,17,23,96
S01000176,762,81,6,474,1,19,39,20,122
S01000177,559,46,3,392,1,3,20,28,66
S01000178,774,35,1,658,0,0,3,28,49
S01000179,877,47,4,593,0,1,9,149,74
S01000180,663,25,0,591,4,1,5,14,23
S01000181,606,29,2,524,1,3,4,11,32
S01000182,916,43,1,820,0,2,2,14,34
S01000183,1362,145,20,699,2,12,61,161,262
S01000184,742,66,15,560,0,5,14,14,68
S01000185,887,57,9,586,1,3,19,101,111
S01000186,950,57,6,825,0,1,9,26,26
S01000187,627,22,3,525,2,2,5,24,44
S01000188,1219,145,10,611,4,11,101,80,257
S01000189,623,26,2,537,1,0,4,24,29
S01000190,835,32,4,745,0,1,1,20,32
S01000191,1223,107,21,860,9,5,41,36,144
S01000192,810,80,8,536,1,1,31,73,80
S01000193,727,28,1,649,0,0,4,25,20
S01000194,872,65,3,529,4,2,22,160,87
S01000195,723,44,9,486,1,5,10,97,71
S01000196,1005,46,4,844,2,3,8,54,44
S01000197,587,19,1,512,1,2,4,8,40
S01000198,831,40,0,668,1,2,0,62,58
S01000199,853,47,5,487,2,1,17,223,71
S01000200,833,42,6,677,0,5,12,22,69
S01000201,622,37,0,498,2,3,8,17,57
S01000202,1015,80,3,719,0,6,16,70,121
S01000203,712,33,1,376,4,4,9,211,74
S01000204,577,21,0,525,3,1,2,12,13
