,All people,England,Northern Ireland,Scotland,Wales,Republic of Ireland,Other EU: Member countries in March 2001 (1),Other EU: Accession countries April 2001 to March 2011,Other countries
S01000205,973,89,13,539,5,19,46,91,171
S01000206,704,44,5,579,0,0,6,20,50
S01000207,928,43,3,658,0,1,8,150,65
S01000208,1015,27,1,758,3,1,9,190,26
S01000209,1391,68,0,948,2,4,13,306,50
S01000210,684,44,5,446,0,2,20,104,63
S01000211,747,39,5,491,1,1,25,106,79
S01000212,754,32,3,622,0,1,6,45,45
S01000213,740,48,4,579,1,0,10,50,48
S01000214,460,13,1,418,2,1,2,8,15
S01000215,1160,123,4,909,3,1,19,23,78
S01000216,654,44,2,535,2,0,10,30,31
S01000217,810,50,3,508,0,1,5,204,39
S01000218,666,28,7,602,1,1,2,11,14
S01000219,851,44,5,486,1,0,16,247,52
S01000220,2648,386,37,1145,18,27,336,263,436
S01000221,840,58,7,700,2,3,6,32,32
S01000222,737,41,1,656,3,0,10,15,11
S01000223,607,34,3,503,0,1,5,31,30
S01000224,846,38,4,775,1,0,5,4,19
S01000225,576,37,2,502,3,2,1,7,22
S01000226,608,57,6,473,3,3,16,11,39
S01000227,1334,88,9,1087,9,4,13,16,108
S01000228,829,71,0,674,1,3,3,32,45
S01000229,822,38,1,734,0,3,8,21,17
S01000230,618,33,5,536,0,0,3,18,23
S01000231,694,44,0,618,1,2,1,2,26
S01000232,615,29,2,542,2,2,5,3,30
S01000233,496,24,1,426,3,1,3,19,19
S01000234,697,40,1,631,1,2,4,6,12
S01000235,837,42,2,740,5,1,2,15,30
S01000236,672,40,0,584,2,0,2,16,28
S01000237,816,45,6,725,0,3,13,3,21
S01000238,493,31,3,428,0,0,0,4,27
S01000239,691,36,1,606,2,2,8,7,29
S01000240,634,32,4,578,1,2,3,4,10
S01000241,599,44,5,516,1,2,4,0,27
S01000242,744,54,3,590,1,1,12,4,79
S01000243,649,29,0,598,0,0,2,4,16
S01000244,1139,57,4,1007,5,4,8,32,22
S01000245,959,66,4,834,4,3,5,4,39
S01000246,689,40,5,607,0,1,4,9,23
S01000247,655,46,0,578,2,1,1,8,19
S01000248,741,40,0,652,2,0,6,4,37
S01000249,650,50,2,544,2,1,4,8,39
S01000250,832,50,5,701,4,1,7,0,64
S01000251,465,36,2,377,0,0,5,2,43
S01000252,790,56,3,660,3,1,9,13,45
S01000253,651,35,1,559,3,1,7,1,44
S01000254,832,57,3,689,1,5,0,8,69
S01000255,586,41,0,513,0,0,2,9,21
S01000256,805,51,1,697,5,3,8,5,35
S01000257,917,50,3,785,3,0,3,13,60
S01000258,608,49,4,523,2,2,3,0,25
S01000259,611,51,4,507,2,4,6,6,31
S01000260,865,57,4,704,1,1,11,5,82
S01000261,900,79,2,775,5,1,6,12,20
S01000262,913,65,7,800,1,2,4,11,23
S01000263,820,58,3,686,3,1,7,7,55
S01000264,909,54,3,766,4,5,6,16,55
S01000265,712,28,3,632,2,1,4,7,35
S01000266,1248,71,18,1062,7,1,13,13,63
S01000267,720,43,2,635,3,1,5,6,25
S01000268,816,118,11,646,4,7,8,4,18
S01000269,628,108,4,480,4,0,8,9,15
S01000270,1031,144,11,829,4,7,13,4,19
S01000271,877,195,11,626,6,0,14,6,19
S01000272,1122,121,7,881,4,3,17,46,43
S01000273,620,94,3,471,4,0,17,4,27
S01000274,678,86,6,548,6,3,4,6,19
S01000275,1435,135,2,1237,5,4,10,13,29
S01000276,786,131,4,608,9,1,11,4,18
S01000277,723,85,4,600,11,1,4,2,16
S01000278,577,52,6,489,3,2,6,11,8
S01000279,956,159,2,748,3,3,10,4,27
S01000280,761,99,11,597,4,2,10,18,20
S01000281,675,89,9,529,2,1,13,12,20
S01000282,750,107,4,593,2,1,9,5,29
S01000283,1090,207,8,805,6,3,12,6,43
S01000284,1266,198,12,975,10,5,10,6,50
S01000285,719,110,4,575,6,1,4,1,18
S01000286,916,119,6,727,3,0,11,22,28
S01000287,732,118,8,556,5,6,9,1,29
S01000288,807,71,3,695,2,0,7,10,19
S01000289,888,91,4,743,8,4,17,2,19
S01000290,822,62,1,718,3,3,5,17,13
S01000291,951,118,1,797,5,1,6,4,19
S01000292,1029,132,9,836,1,1,9,9,32
S01000293,843,114,3,656,8,3,9,25,25
S01000294,648,63,3,540,11,2,5,5,19
S01000295,538,69,2,438,6,1,5,0,17
S01000296,969,154,9,732,6,4,8,11,45
S01000297,729,88,4,615,2,2,8,1,9
S01000298,1131,117,8,928,3,3,16,14,42
S01000299,1019,299,2,621,7,6,19,9,56
S01000300,759,135,1,581,3,2,9,1,27
S01000301,554,108,2,379,3,3,6,30,23
S01000302,630,116,5,469,4,3,11,1,21
S01000303,584,134,2,398,8,3,14,6,19
S01000304,829,99,3,699,7,1,3,3,14
S01000305,1040,110,3,880,5,3,8,5,26
S01000306,790,159,7,565,2,6,9,1,41
S01000307,922,119,8,735,3,6,12,1,38
S01000308,1218,165,8,944,6,6,29,5,55
S01000309,1203,264,5,819,14,12,31,20,38
S01000310,946,79,8,818,6,0,7,2,26
S01000311,938,208,7,598,6,2,8,60,49
S01000312,539,81,6,404,3,0,13,11,21
S01000313,681,117,11,494,4,3,12,3,37
S01000314,551,42,2,477,0,0,3,3,24
S01000315,667,146,8,446,8,1,12,6,40
S01000316,901,158,5,688,5,2,5,8,30
S01000317,542,63,6,432,1,1,7,19,13
S01000318,549,138,8,357,6,0,10,13,17
S01000319,712,45,3,629,6,2,6,1,20
S01000320,671,45,3,586,4,2,6,2,23
S01000321,595,74,1,489,3,3,2,0,23
S01000322,996,222,8,675,10,4,13,13,51
S01000323,879,111,4,719,7,2,9,7,20
S01000324,835,60,3,731,8,1,3,2,27
S01000325,1291,221,5,950,3,1,22,19,70
S01000326,805,70,0,695,7,1,4,1,27
S01000327,811,46,3,729,2,2,4,1,24
S01000328,534,57,2,439,5,2,8,5,16
S01000329,836,62,5,718,4,0,4,13,30
S01000330,1322,253,11,969,15,3,12,16,43
S01000331,560,89,1,432,5,2,8,2,21
S01000332,745,157,6,510,7,1,12,8,44
S01000333,948,176,7,638,2,6,29,21,69
S01000334,903,135,10,714,4,4,12,1,23
S01000335,792,96,11,628,2,3,8,4,40
S01000336,1440,144,12,1109,5,8,28,34,100
S01000337,841,195,8,567,10,4,10,7,40
S01000338,495,96,2,361,0,2,3,6,25
S01000339,1236,230,15,910,13,3,16,10,39
S01000340,1058,130,5,843,3,6,26,4,41
S01000341,1009,208,6,735,9,0,18,7,26
S01000342,478,51,1,396,3,0,10,8,9
S01000343,584,101,3,435,2,2,4,12,25
S01000344,992,193,2,761,3,0,8,5,20
S01000345,626,54,1,523,1,1,8,3,35
S01000346,643,54,0,565,1,1,1,2,19
S01000347,1606,143,7,1304,4,2,25,10,111
S01000348,730,52,5,603,6,0,7,10,47
S01000349,537,38,4,438,2,6,8,0,41
S01000350,1082,88,6,894,8,3,7,10,66
S01000351,939,97,7,748,3,1,14,6,63
S01000352,699,59,1,596,4,3,4,7,25
S01000353,508,53,2,417,3,0,3,3,27
S01000354,1576,197,8,1238,10,8,19,8,88
S01000355,615,66,4,507,4,0,1,3,30
S01000356,642,93,10,475,3,3,8,6,44
S01000357,580,64,2,484,0,0,7,1,22
S01000358,889,98,10,726,9,0,3,2,41
S01000359,836,114,1,629,2,2,14,3,71
S01000360,536,138,2,372,4,1,3,2,14
S01000361,678,102,2,535,4,2,9,4,20
S01000362,971,101,3,772,3,0,13,39,40
S01000363,1178,188,5,915,11,3,19,5,32
S01000364,955,202,5,693,5,0,13,7,30
S01000365,2070,225,12,1650,10,4,31,12,126
S01000366,2125,192,15,1803,13,4,14,25,59
S01000367,845,92,2,691,13,2,11,3,31
S01000368,1286,197,7,1023,9,3,18,3,26
S01000369,938,86,14,790,7,1,11,4,25
S01000370,1511,124,4,1254,6,4,23,11,85
S01000371,927,121,6,776,5,0,0,4,15
S01000372,951,121,5,765,10,1,11,9,29
S01000373,667,95,2,529,6,1,13,5,16
S01000374,647,66,2,555,4,2,5,1,12
S01000375,612,56,3,529,3,1,4,5,11
S01000376,826,75,4,702,3,1,5,11,25
S01000377,852,138,6,633,6,3,12,16,38
S01000378,543,37,3,498,0,1,2,0,2
S01000379,655,78,4,534,7,6,2,1,23
S01000380,957,118,11,774,6,2,7,3,36
S01000381,1621,160,10,1344,9,4,19,12,63
S01000382,733,153,5,521,10,0,8,4,32
S01000383,1166,104,2,994,3,2,17,7,37
S01000384,706,164,5,496,4,1,7,2,27
S01000385,622,63,7,526,3,0,1,8,14
S01000386,1260,142,3,1028,4,2,12,21,48
S01000387,871,76,4,749,3,1,11,4,23
S01000388,1083,135,6,869,11,3,12,2,45
S01000389,861,76,5,728,3,1,6,4,38
S01000390,822,59,4,727,0,2,9,12,9
S01000391,726,51,2,614,0,1,4,40,14
S01000392,800,69,7,680,1,2,13,4,24
S01000393,891,83,7,763,3,4,8,10,13
S01000394,693,50,2,599,4,0,1,21,16
S01000395,800,157,3,612,2,0,8,1,17
S01000396,843,52,7,760,2,2,2,7,11
S01000397,938,72,5,820,10,2,6,5,18
S01000398,2417,272,10,1964,8,10,35,29,89
S01000399,598,45,2,460,3,2,7,55,24
S01000400,803,62,3,661,2,1,6,58,10
S01000401,904,186,14,670,5,5,7,4,13
S01000402,751,57,3,655,2,3,7,3,21
S01000403,787,61,3,659,2,3,10,25,24
S01000404,708,53,5,620,3,1,4,12,10
S01000405,522,84,0,424,5,0,4,0,5
S01000406,534,39,4,456,1,0,2,22,10
S01000407,595,40,2,526,2,2,4,12,7
S01000408,609,60,3,517,2,1,5,8,13
S01000409,579,32,2,513,4,1,2,11,14
S01000410,748,156,4,510,6,1,11,21,39
S01000411,702,101,7,540,4,2,14,8,26
S01000412,798,96,5,661,2,2,8,5,19
S01000413,871,127,5,693,8,1,13,5,19
S01000414,694,108,8,529,4,7,8,2,28
S01000415,927,130,2,759,3,1,6,8,18
S01000416,910,86,3,774,2,2,14,4,25
S01000417,1008,93,3,871,9,1,6,2,23
S01000418,718,192,5,483,4,2,13,4,15
S01000419,1523,219,7,1187,2,5,12,34,57
S01000420,1339,173,9,1066,5,8,14,12,52
S01000421,786,149,7,572,3,5,15,6,29
S01000422,947,138,4,768,4,0,6,2,25
S01000423,1026,179,7,786,7,3,10,0,34
S01000424,743,93,9,609,5,1,16,2,8
S01000425,842,116,3,687,10,1,8,3,14
S01000426,826,118,2,667,8,6,5,1,19
S01000427,743,80,4,609,5,1,10,12,22
S01000428,666,106,3,540,2,0,2,4,9
S01000429,871,82,5,744,3,2,2,16,17
S01000430,501,45,1,431,3,0,7,0,14
S01000431,722,62,1,631,3,4,5,2,14
S01000432,881,119,4,719,4,3,7,2,23
S01000433,510,30,1,464,2,0,4,3,6
S01000434,602,58,0,526,2,1,6,3,6
S01000435,514,27,5,471,0,0,1,6,4
S01000436,629,58,4,552,1,1,3,1,9
S01000437,947,82,1,815,3,1,13,18,14
S01000438,594,57,1,505,4,0,8,2,17
S01000439,823,123,4,659,6,2,8,3,18
S01000440,1091,179,13,832,4,7,11,10,35
S01000441,900,212,3,626,6,2,22,0,29
S01000442,843,130,1,652,7,5,11,6,31
S01000443,608,118,17,436,8,1,10,1,17
S01000444,2534,352,12,2028,17,6,14,11,94
S01000445,1201,168,8,967,8,5,13,5,27
S01000446,951,203,4,686,14,3,11,4,26
S01000447,782,73,3,674,3,1,7,8,13
S01000448,859,130,10,677,8,1,5,7,21
S01000449,740,93,5,615,6,5,2,3,11
S01000450,553,102,2,433,2,2,3,2,7
S01000451,855,198,8,610,6,4,8,6,15
S01000452,573,99,4,446,4,0,5,3,12
S01000453,584,125,4,432,4,2,7,1,9
S01000454,443,55,4,365,2,0,3,4,10
S01000455,846,144,3,658,5,3,6,13,14
S01000456,1132,203,14,860,9,1,14,13,18
S01000457,819,71,4,706,5,2,5,6,20
S01000458,930,200,14,674,9,4,6,4,19
S01000459,1013,119,2,834,5,2,6,26,19
S01000460,707,40,1,644,2,1,10,0,9
S01000461,865,86,2,738,2,2,7,8,20
S01000462,1034,66,3,918,3,1,6,21,16
S01000463,733,67,11,602,4,1,12,13,23
S01000464,848,228,9,555,9,4,7,0,36
S01000465,665,158,4,460,4,3,8,7,21
S01000466,880,180,5,629,15,0,7,22,22
S01000467,614,79,1,515,3,0,6,3,7
S01000468,535,109,6,395,1,0,4,0,20
S01000469,641,35,3,592,2,2,1,4,2
S01000470,1064,80,3,955,2,1,6,7,10
S01000471,837,111,3,695,0,0,9,2,17
S01000472,759,62,1,649,1,1,10,21,14
S01000473,661,45,7,574,3,3,0,12,17
S01000474,625,129,1,456,3,4,7,15,10
S01000475,727,37,2,645,0,1,3,28,11
S01000476,627,119,3,461,2,2,10,13,17
S01000477,674,33,0,621,1,0,4,5,10
S01000478,790,51,5,682,3,0,0,30,19
S01000479,847,40,3,759,1,0,5,29,10
S01000480,670,72,1,574,1,0,4,3,15
S01000481,2138,159,9,1860,5,5,13,26,61
S01000482,896,73,3,612,4,1,3,177,23
S01000483,983,69,1,838,4,1,13,46,11
S01000484,805,54,7,598,2,2,13,110,19
S01000485,987,44,1,892,0,2,5,27,16
S01000486,1132,100,6,720,4,2,16,233,51
S01000487,621,32,1,536,3,1,2,34,12
S01000488,624,43,3,560,1,1,0,14,2
S01000489,937,82,6,717,4,0,7,102,19
S01000490,540,37,5,459,1,1,5,22,10
S01000491,539,31,0,422,0,1,5,76,4
S01000492,951,80,4,732,4,3,6,94,28
S01000493,641,92,1,509,4,2,6,16,11
S01000494,551,28,6,432,1,0,4,77,3
S01000495,903,61,3,798,3,1,1,19,17
S01000496,529,52,7,447,2,1,6,6,8
S01000497,768,62,5,680,3,0,9,3,6
S01000498,520,41,1,456,3,2,4,0,13
S01000499,1020,96,6,880,6,4,5,1,22
S01000500,604,57,2,522,6,0,6,9,2
S01000501,577,40,1,527,2,0,2,2,3
S01000502,638,131,3,472,2,0,7,4,19
S01000503,494,123,3,360,1,0,2,0,5
S01000504,770,76,4,608,1,3,4,64,10
S01000505,727,92,4,608,3,1,5,4,10
S01000506,1024,157,3,808,5,3,13,8,27
S01000507,995,69,2,865,5,1,6,28,19
S01000508,889,229,9,610,9,1,11,3,17
S01000509,1045,72,3,893,3,2,3,54,15
S01000510,665,35,1,552,4,0,4,55,14
S01000511,573,82,4,474,4,0,2,3,4
S01000512,990,83,5,855,1,0,4,32,10
S01000513,881,150,1,670,7,1,11,26,15
S01000514,941,109,3,790,5,3,3,12,16
S01000515,551,109,7,418,1,0,0,7,9
S01000516,883,93,0,769,1,0,5,5,10
S01000517,737,136,8,568,4,0,4,2,15
S01000518,963,78,1,856,2,0,6,8,12
S01000519,515,93,5,393,7,2,4,3,8
S01000520,1129,248,6,830,5,4,4,11,21
S01000521,945,106,5,796,1,1,5,15,16
S01000522,665,157,12,478,2,1,3,1,11
S01000523,851,87,4,728,4,2,2,8,16
S01000524,706,116,0,561,12,1,6,3,7
S01000525,1047,285,1,729,6,1,6,1,18
S01000526,1000,200,7,730,8,5,13,14,23
S01000527,685,79,3,572,1,0,6,7,17
S01000528,946,177,2,715,6,1,5,16,24
S01000529,805,249,9,512,3,0,8,6,18
S01000530,486,78,0,381,1,1,13,4,8
S01000531,574,144,2,403,5,0,2,8,10
S01000532,788,78,4,628,2,1,4,61,10
S01000533,715,69,0,622,4,0,3,10,7
S01000534,760,54,4,656,1,1,6,26,12
S01000535,1020,50,4,925,2,1,7,24,7
S01000536,494,132,0,342,2,1,5,4,8
S01000537,1056,105,8,917,2,0,5,8,11
S01000538,740,57,0,658,1,0,2,12,10
S01000539,990,139,5,742,5,0,10,68,21
S01000540,727,64,3,637,1,0,4,6,12
S01000541,592,67,2,464,4,0,6,33,16
S01000542,647,64,2,555,1,0,3,12,10
S01000543,832,39,3,782,0,0,2,2,4
S01000544,667,117,6,517,1,0,4,7,15
S01000545,755,107,1,545,6,0,5,75,16
S01000546,860,54,2,780,2,3,2,12,5
S01000547,543,40,2,483,4,0,6,2,6
S01000548,1085,133,1,901,7,3,9,15,16
S01000549,1219,49,9,1131,1,0,6,8,15
S01000550,471,15,2,445,0,1,0,8,0
S01000551,892,111,1,746,4,1,5,6,18
S01000552,540,18,1,501,0,1,0,18,1
S01000553,888,32,1,820,1,2,1,24,7
S01000554,679,30,3,569,1,0,11,52,13
S01000555,860,81,2,742,3,4,5,9,14
S01000556,812,38,7,731,2,0,2,29,3
S01000557,913,42,0,805,0,1,4,48,13
S01000558,547,29,4,459,1,0,10,26,18
S01000559,668,28,3,582,4,1,6,34,10
S01000560,1086,47,1,889,1,1,8,122,17
S01000561,1012,49,1,856,1,1,6,72,26
S01000562,847,37,2,736,2,2,4,44,20
S01000563,1145,74,4,670,3,2,17,341,34
S01000564,927,58,0,602,4,3,33,212,15
S01000565,796,53,0,690,1,1,10,31,10
S01000566,867,34,2,673,2,2,7,125,22
S01000567,824,89,2,661,5,4,16,28,19
S01000568,526,52,2,454,0,0,2,8,8
S01000569,759,43,5,690,3,0,3,0,15
S01000570,892,59,6,791,0,1,4,1,30
S01000571,803,56,4,707,4,2,4,4,22
S01000572,711,52,3,620,5,7,3,0,21
S01000573,538,43,3,455,1,0,1,1,34
S01000574,750,66,6,638,4,3,7,4,22
S01000575,640,37,4,568,1,2,5,2,21
S01000576,542,43,5,469,2,6,2,3,12
S01000577,567,37,0,515,0,2,3,3,7
S01000578,633,38,6,567,1,1,7,2,11
S01000579,884,65,5,780,2,3,3,5,21
S01000580,956,123,15,752,3,9,12,3,39
S01000581,700,40,0,633,1,0,5,1,20
S01000582,648,49,0,571,0,0,6,0,22
S01000583,939,83,7,812,4,1,5,7,20
S01000584,840,52,7,739,5,1,4,4,28
S01000585,1224,93,10,1070,2,1,16,8,24
S01000586,722,59,6,637,1,0,6,0,13
S01000587,658,46,2,593,2,2,3,1,9
S01000588,576,42,5,509,2,6,3,0,9
S01000589,709,60,1,609,4,4,5,3,23
S01000590,846,89,3,713,6,2,2,2,29
S01000591,775,38,3,703,2,1,1,0,27
S01000592,875,77,2,770,1,0,6,1,18
S01000593,1555,121,7,1330,5,6,9,41,36
S01000594,1331,109,15,1134,6,2,4,12,49
