Scotland's Census 2011 - National Records of Scotland
"Table KS401SC - Dwellings, household spaces and accommodation type"
All dwellings; All household spaces
, , , , ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
,All dwellings,All dwellings: Unshared,All dwellings: Shared: Two household spaces,All dwellings: Shared: Three or more household spaces,All household spaces,All household spaces: Occupied,All household spaces: Unoccupied: Second residence/holiday accommodation,All household spaces: Unoccupied: Vacant,All household spaces: Whole house or bungalow: Detached,All household spaces: Whole house or bungalow: Semi-detached,All household spaces: Whole house or bungalow: Terraced (including end-terrace),"All household spaces: Flat, maisonette or apartment: Purpose-built block of flats or tenement","All household spaces: Flat, maisonette or apartment: Part of a converted or shared house (including bed-sits)","All household spaces: Flat, maisonette or apartment: In a commercial building",All household spaces: Caravan or other mobile or temporary structure
Scotland,"2,472,956","2,472,489",302,165,"2,473,881","2,372,777","36,642","64,462","546,887","554,307","458,594","850,961","45,398","13,359","4,375"
S01000001,452,452,-,-,452,424,9,19,105,63,33,209,38,3,1
S01000002,267,267,-,-,267,265,-,2,66,135,57,7,1,1,-
S01000003,340,340,-,-,340,337,1,2,80,130,44,84,2,-,-
S01000004,264,264,-,-,264,259,4,1,128,62,7,66,1,-,-
S01000005,351,351,-,-,351,340,5,6,44,24,40,232,10,-,1
S01000006,268,268,-,-,268,256,4,8,37,108,38,81,3,1,-
S01000007,318,318,-,-,318,315,1,2,90,189,20,17,2,-,-
S01000008,282,282,-,-,282,274,-,8,32,77,81,91,1,-,-
S01000009,303,303,-,-,303,297,2,4,114,78,88,21,-,1,1
S01000010,251,251,-,-,251,246,3,2,79,122,14,35,1,-,-
S01000011,351,351,-,-,351,339,2,10,252,82,6,11,-,-,-
S01000012,560,560,-,-,560,554,-,6,385,137,20,14,3,-,1
S01000013,365,365,-,-,365,364,-,1,90,59,139,75,1,-,1
S01000014,382,382,-,-,382,372,7,3,75,72,196,37,1,-,1
S01000015,302,302,-,-,302,292,4,6,31,113,94,64,-,-,-
S01000016,195,195,-,-,195,185,2,8,122,50,10,4,8,1,-
S01000017,397,397,-,-,397,390,2,5,37,127,195,37,1,-,-
S01000018,246,246,-,-,246,235,4,7,9,57,151,29,-,-,-
S01000019,259,259,-,-,259,230,-,29,43,146,15,54,-,-,1
S01000020,344,344,-,-,344,314,5,25,133,58,13,128,6,6,-
S01000021,385,385,-,-,385,373,11,1,87,71,178,47,2,-,-
S01000022,254,254,-,-,254,247,1,6,209,26,4,7,4,4,-
S01000023,283,283,-,-,283,271,-,12,191,72,7,11,2,-,-
S01000024,179,179,-,-,179,170,2,7,125,34,15,2,1,-,2
S01000025,286,286,-,-,286,281,1,4,254,18,7,5,2,-,-
S01000026,409,409,-,-,409,385,18,6,15,57,136,196,3,2,-
S01000027,346,346,-,-,346,339,-,7,191,49,65,38,3,-,-
S01000028,432,432,-,-,432,425,-,7,8,98,188,135,1,1,1
S01000029,228,228,-,-,228,222,1,5,215,6,3,4,-,-,-
S01000030,238,238,-,-,238,212,18,8,3,38,103,94,-,-,-
S01000031,448,448,-,-,448,427,10,11,95,142,28,160,22,1,-
S01000032,497,497,-,-,497,490,-,7,14,112,257,113,-,1,-
S01000033,432,432,-,-,432,409,20,3,14,55,66,292,4,1,-
S01000034,487,487,-,-,487,461,9,17,240,152,47,33,13,2,-
S01000035,459,459,-,-,459,433,22,4,10,146,166,130,7,-,-
S01000036,294,294,-,-,294,286,6,2,12,142,91,47,1,1,-
S01000037,407,405,2,-,409,359,31,19,31,77,22,246,12,-,21
S01000038,304,304,-,-,304,291,11,2,3,67,186,48,-,-,-
S01000039,451,451,-,-,451,439,6,6,10,76,135,225,3,2,-
S01000040,390,390,-,-,390,385,4,1,7,84,123,173,-,2,1
S01000041,400,400,-,-,400,390,5,5,39,194,11,153,-,3,-
S01000042,361,361,-,-,361,356,1,4,4,111,62,180,3,1,-
S01000043,522,522,-,-,522,496,11,15,7,83,30,385,15,2,-
S01000044,434,434,-,-,434,429,-,5,8,62,89,266,8,1,-
S01000045,247,247,-,-,247,240,4,3,65,149,26,7,-,-,-
S01000046,367,367,-,-,367,341,8,18,67,231,35,30,4,-,-
S01000047,509,509,-,-,509,499,4,6,14,29,19,435,10,2,-
S01000048,508,508,-,-,508,451,6,51,34,272,20,172,4,6,-
S01000049,343,343,-,-,343,330,-,13,22,211,40,64,6,-,-
S01000050,346,346,-,-,346,337,-,9,45,158,44,88,11,-,-
S01000051,371,371,-,-,371,363,-,8,12,341,11,7,-,-,-
S01000052,273,273,-,-,273,256,14,3,4,81,50,138,-,-,-
S01000053,619,619,-,-,619,587,17,15,17,108,97,378,17,2,-
S01000054,408,408,-,-,408,392,1,15,36,247,39,73,11,2,-
S01000055,348,348,-,-,348,315,26,7,11,67,20,245,4,1,-
S01000056,419,419,-,-,419,403,1,15,279,68,41,29,-,-,2
S01000057,305,305,-,-,305,288,16,1,12,62,95,133,3,-,-
S01000058,319,319,-,-,319,305,-,14,57,101,96,41,23,1,-
S01000059,453,453,-,-,453,435,11,7,40,165,75,119,54,-,-
S01000060,316,316,-,-,316,291,21,4,9,36,76,189,4,2,-
S01000061,519,519,-,-,519,496,14,9,109,262,6,142,-,-,-
S01000062,580,580,-,-,580,564,2,14,20,68,61,390,40,1,-
S01000063,413,413,-,-,413,398,6,9,52,112,93,111,45,-,-
S01000064,295,295,-,-,295,288,4,3,4,91,29,157,13,1,-
S01000065,586,585,1,-,587,572,2,13,6,147,62,338,33,1,-
S01000066,518,517,1,-,519,481,30,8,6,57,34,399,22,1,-
S01000067,618,618,-,-,618,586,16,16,78,172,65,294,9,-,-
S01000068,436,435,1,-,437,414,14,9,59,73,69,195,40,1,-
S01000069,407,407,-,-,407,377,24,6,5,38,3,354,6,1,-
S01000070,300,300,-,-,300,289,5,6,4,40,61,181,13,1,-
S01000071,450,450,-,-,450,423,9,18,4,11,9,420,6,-,-
S01000072,455,455,-,-,455,442,-,13,166,40,103,140,6,-,-
S01000073,274,274,-,-,274,262,7,5,58,193,3,20,-,-,-
S01000074,420,420,-,-,420,386,29,5,1,19,27,371,2,-,-
S01000075,371,371,-,-,371,345,13,13,6,44,14,298,6,3,-
S01000076,316,316,-,-,316,312,2,2,25,286,2,3,-,-,-
S01000077,413,413,-,-,413,399,4,10,30,126,74,130,51,2,-
S01000078,681,678,3,-,684,635,36,13,3,6,22,616,28,9,-
S01000079,858,858,-,-,858,785,60,13,18,46,75,635,76,6,2
S01000080,611,610,1,-,612,589,19,4,7,41,71,424,65,4,-
S01000081,419,419,-,-,419,402,6,11,70,138,64,120,27,-,-
S01000082,530,528,1,1,533,493,27,13,19,52,65,367,22,7,1
S01000083,380,380,-,-,380,366,-,14,18,125,36,168,31,2,-
S01000084,540,540,-,-,540,511,13,16,8,14,11,471,31,5,-
S01000085,355,354,1,-,356,352,2,2,2,6,7,321,18,2,-
S01000086,363,363,-,-,363,359,1,3,12,33,54,219,45,-,-
S01000087,624,622,-,2,630,507,31,92,116,105,64,320,23,2,-
S01000088,583,581,2,-,585,555,15,15,7,19,35,507,16,1,-
S01000089,400,400,-,-,400,389,4,7,148,232,10,5,4,-,1
S01000090,456,455,1,-,457,430,15,12,10,40,63,311,32,1,-
S01000091,660,657,3,-,663,633,5,25,4,12,43,566,35,3,-
S01000092,618,618,-,-,618,599,5,14,3,10,6,587,9,3,-
S01000093,376,376,-,-,376,367,3,6,2,10,28,312,22,2,-
S01000094,427,427,-,-,427,404,17,6,1,4,5,414,2,1,-
S01000095,433,432,1,-,434,422,1,11,9,12,55,305,51,2,-
S01000096,408,408,-,-,408,392,10,6,42,40,114,202,7,3,-
S01000097,468,468,-,-,468,427,30,11,77,88,71,139,91,2,-
S01000098,755,755,-,-,755,697,13,45,11,19,25,612,70,18,-
S01000099,388,388,-,-,388,366,5,17,169,134,11,71,3,-,-
S01000100,508,508,-,-,508,466,29,13,2,11,25,429,32,9,-
S01000101,460,460,-,-,460,427,20,13,13,34,148,177,77,11,-
S01000102,518,518,-,-,518,465,45,8,1,7,10,468,15,17,-
S01000103,380,380,-,-,380,354,15,11,4,12,23,286,50,5,-
S01000104,404,404,-,-,404,374,7,23,221,67,14,61,40,1,-
S01000105,432,432,-,-,432,417,10,5,89,147,85,111,-,-,-
S01000106,311,311,-,-,311,290,18,3,19,104,70,73,45,-,-
S01000107,735,735,-,-,735,705,10,20,4,10,6,651,16,48,-
S01000108,443,443,-,-,443,413,15,15,14,8,80,309,23,9,-
S01000109,689,688,1,-,690,650,13,27,10,9,24,563,45,39,-
S01000110,410,410,-,-,410,407,-,3,164,82,91,71,1,1,-
S01000111,385,385,-,-,385,371,7,7,29,98,34,186,35,3,-
S01000112,594,594,-,-,594,578,1,15,10,7,17,544,10,6,-
S01000113,280,278,2,-,282,272,7,3,13,62,55,108,41,3,-
S01000114,386,386,-,-,386,374,1,11,13,57,49,266,1,-,-
S01000115,417,417,-,-,417,399,6,12,9,75,148,177,6,2,-
S01000116,603,603,-,-,603,575,4,24,5,21,9,526,35,7,-
S01000117,449,448,-,1,451,432,8,11,50,112,87,151,48,3,-
S01000118,350,350,-,-,350,330,15,5,64,81,48,151,2,4,-
S01000119,571,571,-,-,571,552,3,16,6,13,6,501,39,6,-
S01000120,319,319,-,-,319,311,2,6,3,23,57,191,41,4,-
S01000121,344,344,-,-,344,334,4,6,78,101,65,92,8,-,-
S01000122,354,354,-,-,354,338,10,6,14,46,127,166,1,-,-
S01000123,276,276,-,-,276,265,1,10,165,85,18,7,-,1,-
S01000124,595,595,-,-,595,565,4,26,1,5,18,543,26,2,-
S01000125,365,365,-,-,365,341,17,7,2,5,11,339,7,1,-
S01000126,632,631,-,1,634,592,21,21,5,10,14,574,17,13,1
S01000127,327,327,-,-,327,323,1,3,38,122,79,60,28,-,-
S01000128,694,690,3,1,702,651,27,24,3,7,4,634,31,23,-
S01000129,367,367,-,-,367,340,12,15,3,1,6,318,13,26,-
S01000130,948,946,1,1,953,880,37,36,3,16,14,873,47,-,-
S01000131,363,363,-,-,363,354,3,6,4,18,88,218,35,-,-
S01000132,446,445,1,-,447,437,2,8,8,28,45,297,69,-,-
S01000133,382,382,-,-,382,376,1,5,11,114,164,93,-,-,-
S01000134,345,345,-,-,345,321,16,8,3,48,132,160,2,-,-
S01000135,414,414,-,-,414,393,17,4,3,1,5,394,7,4,-
S01000136,315,315,-,-,315,301,9,5,9,64,134,108,-,-,-
S01000137,543,543,-,-,543,524,10,9,12,23,21,432,54,1,-
S01000138,542,541,1,-,543,492,20,31,9,10,5,486,24,9,-
S01000139,379,379,-,-,379,364,7,8,9,98,213,59,-,-,-
S01000140,417,417,-,-,417,415,-,2,6,121,253,36,-,1,-
S01000141,383,383,-,-,383,366,1,16,26,99,76,149,32,1,-
S01000142,350,350,-,-,350,311,34,5,9,35,131,173,2,-,-
S01000143,247,247,-,-,247,245,-,2,187,32,25,3,-,-,-
S01000144,448,448,-,-,448,419,16,13,5,2,16,399,26,-,-
S01000145,483,483,-,-,483,464,17,2,5,77,209,189,3,-,-
S01000146,972,971,1,-,973,950,10,13,6,9,12,904,39,3,-
S01000147,660,659,1,-,661,602,46,13,7,3,27,605,19,-,-
S01000148,313,313,-,-,313,301,5,7,4,24,89,196,-,-,-
S01000149,723,721,2,-,725,690,22,13,13,15,33,609,41,14,-
S01000150,288,288,-,-,288,272,13,3,8,62,141,75,2,-,-
S01000151,495,495,-,-,495,480,3,12,1,16,82,394,2,-,-
S01000152,651,650,1,-,652,630,12,10,11,70,78,438,55,-,-
S01000153,601,601,-,-,601,553,4,44,3,8,8,580,2,-,-
S01000154,254,254,-,-,254,250,2,2,11,65,173,5,-,-,-
S01000155,374,374,-,-,374,364,7,3,5,56,223,86,3,1,-
S01000156,567,566,1,-,568,525,34,9,5,12,12,493,46,-,-
