Scotland's Census 2011 - National Records of Scotland
"Table KS401SC - Dwellings, household spaces and accommodation type"
All dwellings; All household spaces
, , , , ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
,All dwellings,All dwellings: Unshared,All dwellings: Shared: Two household spaces,All dwellings: Shared: Three or more household spaces,All household spaces,All household spaces: Occupied,All household spaces: Unoccupied: Second residence/holiday accommodation,All household spaces: Unoccupied: Vacant,All household spaces: Whole house or bungalow: Detached,All household spaces: Whole house or bungalow: Semi-detached,All household spaces: Whole house or bungalow: Terraced (including end-terrace),"All household spaces: Flat, maisonette or apartment: Purpose-built block of flats or tenement","All household spaces: Flat, maisonette or apartment: Part of a converted or shared house (including bed-sits)","All household spaces: Flat, maisonette or apartment: In a commercial building",All household spaces: Caravan or other mobile or temporary structure
S01000157,422,422,-,-,422,409,6,7,2,13,47,360,-,-,-
S01000158,465,465,-,-,465,435,25,5,27,70,112,250,5,-,1
S01000159,362,362,-,-,362,352,1,9,191,137,7,26,-,1,-
S01000160,336,336,-,-,336,332,-,4,5,100,217,14,-,-,-
S01000161,428,428,-,-,428,401,19,8,12,76,37,179,124,-,-
S01000162,447,447,-,-,447,431,4,12,59,57,76,247,8,-,-
S01000163,481,481,-,-,481,467,10,4,7,95,283,95,1,-,-
S01000164,363,363,-,-,363,347,1,15,-,4,2,347,9,1,-
S01000165,531,531,-,-,531,504,16,11,7,15,27,463,19,-,-
S01000166,572,572,-,-,572,561,2,9,19,50,82,353,65,3,-
S01000167,315,315,-,-,315,304,1,10,6,112,108,89,-,-,-
S01000168,453,453,-,-,453,445,2,6,10,86,275,78,2,2,-
S01000169,353,353,-,-,353,346,6,1,6,85,162,100,-,-,-
S01000170,547,546,1,-,548,538,1,9,21,88,72,323,43,1,-
S01000171,399,399,-,-,399,395,-,4,201,173,14,10,1,-,-
S01000172,216,216,-,-,216,209,4,3,6,76,26,108,-,-,-
S01000173,401,401,-,-,401,390,7,4,2,25,131,240,3,-,-
S01000174,316,316,-,-,316,309,2,5,239,67,5,4,-,1,-
S01000175,306,306,-,-,306,286,17,3,3,6,13,262,18,3,1
S01000176,352,352,-,-,352,342,2,8,-,1,2,342,6,1,-
S01000177,280,280,-,-,280,271,5,4,27,40,11,172,29,1,-
S01000178,318,318,-,-,318,312,4,2,11,67,188,51,1,-,-
S01000179,550,550,-,-,550,499,38,13,5,9,10,517,7,2,-
S01000180,284,284,-,-,284,283,-,1,8,106,159,10,1,-,-
S01000181,247,247,-,-,247,242,2,3,10,115,85,37,-,-,-
S01000182,352,352,-,-,352,350,-,2,8,142,193,9,-,-,-
S01000183,556,554,2,-,558,532,15,11,6,14,29,480,28,1,-
S01000184,374,374,-,-,374,361,-,13,17,116,58,139,43,1,-
S01000185,535,535,-,-,535,518,10,7,4,9,3,513,5,1,-
S01000186,517,517,-,-,517,510,2,5,20,158,57,279,3,-,-
S01000187,251,251,-,-,251,248,2,1,8,189,38,15,1,-,-
S01000188,454,454,-,-,454,444,8,2,20,25,30,337,38,4,-
S01000189,225,225,-,-,225,218,3,4,10,70,88,56,1,-,-
S01000190,367,367,-,-,367,360,3,4,5,131,185,46,-,-,-
S01000191,666,666,-,-,666,596,33,37,38,71,94,435,25,3,-
S01000192,388,386,2,-,390,366,15,9,19,29,30,300,10,2,-
S01000193,297,297,-,-,297,291,4,2,9,96,143,49,-,-,-
S01000194,424,424,-,-,424,370,42,12,2,55,8,352,6,1,-
S01000195,440,440,-,-,440,398,36,6,3,25,69,339,3,1,-
S01000196,359,359,-,-,359,343,10,6,4,70,79,202,3,1,-
S01000197,245,245,-,-,245,242,2,1,3,61,165,16,-,-,-
S01000198,382,382,-,-,382,349,5,28,7,89,16,267,3,-,-
S01000199,430,429,1,-,431,384,37,10,9,16,14,381,11,-,-
S01000200,437,437,-,-,437,419,9,9,3,12,5,415,2,-,-
S01000201,332,332,-,-,332,305,15,12,4,5,11,312,-,-,-
S01000202,500,498,-,2,505,497,-,8,30,31,21,356,67,-,-
S01000203,350,349,1,-,351,315,29,7,1,8,13,328,1,-,-
S01000204,263,263,-,-,263,257,4,2,2,28,133,99,1,-,-
S01000205,421,421,-,-,421,414,3,4,45,23,29,300,22,2,-
S01000206,280,280,-,-,280,276,-,4,7,43,201,29,-,-,-
S01000207,586,586,-,-,586,544,33,9,8,5,5,566,1,1,-
S01000208,423,422,1,-,424,395,19,10,10,73,56,285,-,-,-
S01000209,531,529,2,-,533,505,10,18,17,66,26,409,7,-,8
S01000210,462,462,-,-,462,401,48,13,17,31,21,354,29,10,-
S01000211,396,396,-,-,396,358,31,7,5,52,57,272,7,3,-
S01000212,343,343,-,-,343,334,1,8,2,88,128,124,-,1,-
S01000213,447,446,1,-,448,427,11,10,6,14,7,414,6,1,-
S01000214,233,233,-,-,233,233,-,-,4,27,192,9,1,-,-
S01000215,395,395,-,-,395,386,1,8,279,62,11,14,14,2,13
S01000216,320,320,-,-,320,315,-,5,31,135,76,68,9,1,-
S01000217,402,402,-,-,402,366,29,7,4,30,78,288,1,1,-
S01000218,344,344,-,-,344,342,1,1,8,64,257,14,1,-,-
S01000219,451,451,-,-,451,416,20,15,9,12,39,387,4,-,-
S01000220,364,364,-,-,364,345,15,4,15,38,26,280,4,1,-
S01000221,482,482,-,-,482,464,9,9,8,35,44,392,3,-,-
S01000222,341,341,-,-,341,335,2,4,9,136,148,46,2,-,-
S01000223,337,337,-,-,337,309,2,26,26,51,85,119,13,1,42
S01000224,351,351,-,-,351,350,-,1,8,224,98,18,2,1,-
S01000225,256,256,-,-,256,254,1,1,35,98,99,17,7,-,-
S01000226,308,308,-,-,308,302,1,5,40,143,20,102,2,1,-
S01000227,552,552,-,-,552,537,7,8,194,124,54,177,3,-,-
S01000228,496,496,-,-,496,453,21,22,48,31,19,305,31,4,58
S01000229,424,424,-,-,424,409,5,10,30,62,98,217,16,1,-
S01000230,326,326,-,-,326,319,1,6,21,79,74,143,9,-,-
S01000231,322,322,-,-,322,318,-,4,105,132,4,79,2,-,-
S01000232,305,305,-,-,305,293,2,10,10,81,117,91,6,-,-
S01000233,281,281,-,-,281,271,1,9,4,102,42,129,4,-,-
S01000234,342,342,-,-,342,334,4,4,99,145,30,68,-,-,-
S01000235,350,350,-,-,350,343,3,4,76,179,30,64,1,-,-
S01000236,305,305,-,-,305,299,5,1,18,200,41,45,-,-,1
S01000237,369,369,-,-,369,368,-,1,14,287,52,9,2,5,-
S01000238,239,239,-,-,239,235,2,2,25,68,86,55,5,-,-
S01000239,298,298,-,-,298,295,-,3,25,211,44,18,-,-,-
S01000240,289,289,-,-,289,287,-,2,41,174,47,27,-,-,-
S01000241,213,213,-,-,213,212,-,1,190,19,1,3,-,-,-
S01000242,350,350,-,-,350,341,4,5,117,83,35,113,2,-,-
S01000243,263,263,-,-,263,262,1,-,80,173,7,3,-,-,-
S01000244,600,600,-,-,600,573,15,12,53,167,87,237,55,1,-
S01000245,399,399,-,-,399,392,2,5,82,167,138,12,-,-,-
S01000246,287,287,-,-,287,283,1,3,83,89,109,6,-,-,-
S01000247,276,276,-,-,276,273,1,2,62,200,10,4,-,-,-
S01000248,347,347,-,-,347,342,-,5,49,221,6,69,2,-,-
S01000249,287,287,-,-,287,281,-,6,84,118,82,2,1,-,-
S01000250,288,288,-,-,288,288,-,-,93,188,3,4,-,-,-
S01000251,151,151,-,-,151,150,-,1,81,64,3,3,-,-,-
S01000252,353,353,-,-,353,345,1,7,36,179,87,50,1,-,-
S01000253,221,221,-,-,221,221,-,-,100,114,2,5,-,-,-
S01000254,342,342,-,-,342,339,1,2,121,142,18,59,2,-,-
S01000255,281,281,-,-,281,273,1,7,40,120,37,82,2,-,-
S01000256,423,423,-,-,423,416,1,6,117,195,60,49,2,-,-
S01000257,429,429,-,-,429,408,11,10,153,90,70,102,12,2,-
S01000258,242,242,-,-,242,240,-,2,144,55,23,20,-,-,-
S01000259,224,224,-,-,224,223,-,1,102,86,9,27,-,-,-
S01000260,347,347,-,-,347,334,-,13,54,167,119,5,2,-,-
S01000261,406,406,-,-,406,400,4,2,122,187,31,65,1,-,-
S01000262,416,416,-,-,416,410,1,5,122,169,52,60,12,1,-
S01000263,322,322,-,-,322,302,11,9,97,118,35,29,-,4,39
S01000264,424,424,-,-,424,419,-,5,43,109,136,135,1,-,-
S01000265,343,343,-,-,343,339,-,4,10,147,87,97,-,-,2
S01000266,550,550,-,-,550,530,5,15,157,200,49,132,5,2,5
S01000267,294,294,-,-,294,292,-,2,19,129,78,66,-,2,-
S01000268,370,370,-,-,370,354,4,12,143,153,64,8,-,2,-
S01000269,257,257,-,-,257,248,5,4,200,43,8,3,1,-,2
S01000270,448,448,-,-,448,429,1,18,278,110,51,6,2,1,-
S01000271,423,423,-,-,423,370,41,12,188,121,73,31,8,2,-
S01000272,463,463,-,-,463,442,2,19,220,94,85,39,8,10,7
S01000273,275,275,-,-,275,243,12,20,112,80,78,2,-,1,2
S01000274,316,316,-,-,316,289,15,12,62,131,64,47,11,1,-
S01000275,618,618,-,-,618,608,1,9,232,240,89,53,3,1,-
S01000276,299,299,-,-,299,282,4,13,241,43,2,13,-,-,-
S01000277,316,316,-,-,316,298,6,12,151,54,69,32,6,4,-
S01000278,294,294,-,-,294,285,2,7,51,80,71,90,1,1,-
S01000279,370,370,-,-,370,353,3,14,292,62,8,4,2,1,1
S01000280,309,309,-,-,309,294,2,13,156,98,33,21,1,-,-
S01000281,341,341,-,-,341,298,10,33,175,88,29,38,8,2,1
S01000282,320,320,-,-,320,304,7,9,164,124,23,2,5,-,2
S01000283,446,446,-,-,446,430,6,10,251,113,69,4,7,2,-
S01000284,462,462,-,-,462,452,3,7,303,107,43,5,2,-,2
S01000285,288,288,-,-,288,278,2,8,201,77,7,-,2,-,1
S01000286,515,514,1,-,516,485,11,20,48,103,90,230,36,9,-
S01000287,311,311,-,-,311,302,1,8,159,30,44,66,12,-,-
S01000288,335,335,-,-,335,333,1,1,55,163,113,2,2,-,-
S01000289,426,426,-,-,426,419,1,6,57,138,128,86,14,3,-
S01000290,374,374,-,-,374,367,2,5,14,69,129,159,2,1,-
S01000291,345,345,-,-,345,344,1,-,188,69,72,15,-,-,1
S01000292,432,432,-,-,432,424,2,6,149,118,40,93,17,15,-
S01000293,501,501,-,-,501,478,5,18,33,53,103,246,33,32,1
S01000294,250,250,-,-,250,249,-,1,119,115,6,8,1,-,1
S01000295,222,222,-,-,222,221,-,1,93,90,38,1,-,-,-
S01000296,404,404,-,-,404,385,4,15,205,67,23,90,18,1,-
S01000297,303,303,-,-,303,301,-,2,89,155,37,22,-,-,-
S01000298,393,393,-,-,393,393,-,-,214,127,31,19,1,1,-
S01000299,456,456,-,-,456,392,45,19,308,87,13,41,5,1,1
S01000300,294,294,-,-,294,279,1,14,240,44,5,-,4,-,1
S01000301,351,351,-,-,351,245,82,24,214,93,12,17,7,8,-
S01000302,236,236,-,-,236,225,5,6,207,18,6,2,1,1,1
S01000303,332,332,-,-,332,258,64,10,260,57,7,2,6,-,-
S01000304,296,296,-,-,296,291,-,5,243,50,2,1,-,-,-
S01000305,460,460,-,-,460,450,1,9,77,230,139,11,2,1,-
S01000306,310,310,-,-,310,294,7,9,243,42,19,4,2,-,-
S01000307,348,348,-,-,348,344,-,4,190,131,24,3,-,-,-
S01000308,497,497,-,-,497,484,3,10,332,103,49,7,5,1,-
S01000309,534,534,-,-,534,465,54,15,401,93,20,5,8,6,1
S01000310,371,371,-,-,371,366,1,4,163,149,26,32,1,-,-
S01000311,456,456,-,-,456,424,10,22,192,73,14,127,24,26,-
S01000312,348,348,-,-,348,246,91,11,160,99,39,45,-,5,-
S01000313,316,316,-,-,316,312,-,4,110,133,36,28,6,3,-
S01000314,242,242,-,-,242,240,-,2,32,147,37,26,-,-,-
S01000315,274,274,-,-,274,266,-,8,186,55,9,17,7,-,-
S01000316,532,532,-,-,532,444,79,9,206,167,83,61,6,9,-
S01000317,270,270,-,-,270,264,-,6,43,54,129,42,2,-,-
S01000318,222,222,-,-,222,220,1,1,180,34,6,2,-,-,-
S01000319,240,240,-,-,240,238,-,2,110,124,5,1,-,-,-
S01000320,335,335,-,-,335,332,-,3,81,150,8,90,5,-,1
S01000321,237,237,-,-,237,229,3,5,144,81,8,4,-,-,-
S01000322,399,399,-,-,399,394,2,3,303,38,2,55,1,-,-
S01000323,368,368,-,-,368,364,-,4,127,161,68,6,5,-,1
S01000324,315,315,-,-,315,312,-,3,143,154,13,5,-,-,-
S01000325,499,499,-,-,499,490,1,8,271,122,102,3,-,-,1
S01000326,339,339,-,-,339,337,-,2,65,134,109,29,1,1,-
S01000327,310,310,-,-,310,308,-,2,105,183,17,5,-,-,-
S01000328,201,201,-,-,201,199,-,2,12,73,116,-,-,-,-
S01000329,322,322,-,-,322,318,-,4,89,119,110,3,1,-,-
S01000330,483,483,-,-,483,471,2,10,339,101,16,24,3,-,-
S01000331,292,292,-,-,292,280,3,9,123,123,41,4,1,-,-
S01000332,333,333,-,-,333,319,4,10,212,51,10,49,8,3,-
S01000333,367,367,-,-,367,355,1,11,291,57,11,2,3,2,1
S01000334,415,415,-,-,415,403,-,12,138,204,24,39,4,6,-
S01000335,346,346,-,-,346,339,2,5,181,138,24,2,1,-,-
S01000336,552,552,-,-,552,530,1,21,338,87,19,36,4,-,68
S01000337,377,377,-,-,377,354,10,13,281,52,35,8,1,-,-
S01000338,205,205,-,-,205,197,5,3,137,40,17,3,4,2,2
S01000339,471,471,-,-,471,461,1,9,298,133,19,19,-,2,-
S01000340,443,443,-,-,443,423,3,17,309,98,15,12,4,1,4
S01000341,499,499,-,-,499,430,60,9,401,79,5,7,5,1,1
S01000342,221,221,-,-,221,213,6,2,73,121,20,4,1,2,-
S01000343,224,224,-,-,224,216,6,2,199,20,2,1,1,1,-
S01000344,413,413,-,-,413,396,17,-,281,90,28,8,4,2,-
S01000345,261,261,-,-,261,255,1,5,62,72,103,1,-,-,23
S01000346,278,278,-,-,278,274,1,3,26,181,29,42,-,-,-
S01000347,558,558,-,-,558,552,-,6,411,95,45,6,-,1,-
S01000348,325,325,-,-,325,316,1,8,121,74,61,67,1,-,1
S01000349,260,260,-,-,260,254,-,6,39,123,24,73,1,-,-
S01000350,391,391,-,-,391,390,-,1,186,167,15,22,-,-,1
S01000351,382,382,-,-,382,378,1,3,210,86,26,58,-,2,-
S01000352,307,307,-,-,307,301,-,6,92,168,13,33,1,-,-
S01000353,220,220,-,-,220,215,1,4,119,65,6,29,1,-,-
S01000354,585,585,-,-,585,571,1,13,346,120,22,92,2,-,3
S01000355,237,237,-,-,237,234,1,2,131,99,3,4,-,-,-
S01000356,249,249,-,-,249,240,2,7,209,25,13,-,-,-,2
S01000357,221,221,-,-,221,220,-,1,69,151,-,1,-,-,-
S01000358,361,361,-,-,361,358,-,3,266,79,3,13,-,-,-
S01000359,284,284,-,-,284,280,1,3,269,12,2,1,-,-,-
S01000360,332,332,-,-,332,253,77,2,266,37,6,14,7,-,2
S01000361,265,265,-,-,265,254,-,11,188,56,12,2,3,4,-
S01000362,411,411,-,-,411,401,1,9,242,99,15,48,6,1,-
S01000363,472,472,-,-,472,454,4,14,400,59,4,4,5,-,-
S01000364,403,403,-,-,403,372,26,5,358,35,2,4,2,-,2
S01000365,770,770,-,-,770,762,1,7,484,210,44,30,2,-,-
S01000366,749,749,-,-,749,742,-,7,565,142,25,10,6,1,-
S01000367,370,370,-,-,370,358,3,9,214,75,42,15,7,-,17
S01000368,567,567,-,-,567,545,5,17,349,88,29,84,10,7,-
S01000369,407,407,-,-,407,396,6,5,290,106,7,3,1,-,-
S01000370,554,554,-,-,554,547,-,7,326,171,47,9,-,-,1
S01000371,444,444,-,-,444,427,4,13,237,169,8,30,-,-,-
S01000372,410,410,-,-,410,400,-,10,167,103,72,56,9,3,-
S01000373,267,267,-,-,267,264,3,-,151,62,16,36,2,-,-
S01000374,284,284,-,-,284,275,1,8,168,98,17,-,1,-,-
