"","datazone","year","type","count"
"149","S01000013",2001,"buddhist",0
"150","S01000013",2001,"hindu",0
"151","S01000013",2001,"jewish",0
"152","S01000013",2001,"muslim",5
"153","S01000013",2001,"sikh",1
"154","S01000013",2001,"another_religion",3
"155","S01000013",2001,"none",304
"156","S01000013",2001,"not_announced",61
"157","S01000014",2001,"all_people",1097
"158","S01000014",2001,"church_of_scotland",391
"159","S01000014",2001,"roman_catholic",55
"160","S01000014",2001,"other_christian",93
"161","S01000014",2001,"buddhist",1
"162","S01000014",2001,"hindu",2
"163","S01000014",2001,"jewish",0
"164","S01000014",2001,"muslim",0
"165","S01000014",2001,"sikh",0
"166","S01000014",2001,"another_religion",4
"167","S01000014",2001,"none",514
"168","S01000014",2001,"not_announced",37
"169","S01000015",2001,"all_people",869
"170","S01000015",2001,"church_of_scotland",363
"171","S01000015",2001,"roman_catholic",36
"172","S01000015",2001,"other_christian",34
"173","S01000015",2001,"buddhist",0
"174","S01000015",2001,"hindu",0
"175","S01000015",2001,"jewish",0
"176","S01000015",2001,"muslim",0
"177","S01000015",2001,"sikh",0
"178","S01000015",2001,"another_religion",5
"179","S01000015",2001,"none",403
"180","S01000015",2001,"not_announced",28
"181","S01000016",2001,"all_people",763
"182","S01000016",2001,"church_of_scotland",219
"183","S01000016",2001,"roman_catholic",98
"184","S01000016",2001,"other_christian",207
"185","S01000016",2001,"buddhist",0
"186","S01000016",2001,"hindu",2
"187","S01000016",2001,"jewish",0
"188","S01000016",2001,"muslim",0
"189","S01000016",2001,"sikh",0
"190","S01000016",2001,"another_religion",6
"191","S01000016",2001,"none",178
"192","S01000016",2001,"not_announced",53
"193","S01000017",2001,"all_people",937
"194","S01000017",2001,"church_of_scotland",323
"195","S01000017",2001,"roman_catholic",32
"196","S01000017",2001,"other_christian",50
"197","S01000017",2001,"buddhist",0
"198","S01000017",2001,"hindu",0
"199","S01000017",2001,"jewish",0
"200","S01000017",2001,"muslim",1
"201","S01000017",2001,"sikh",0
"202","S01000017",2001,"another_religion",4
"203","S01000017",2001,"none",463
"204","S01000017",2001,"not_announced",64
"205","S01000018",2001,"all_people",577
"206","S01000018",2001,"church_of_scotland",225
"207","S01000018",2001,"roman_catholic",13
"208","S01000018",2001,"other_christian",18
"209","S01000018",2001,"buddhist",0
"210","S01000018",2001,"hindu",0
"211","S01000018",2001,"jewish",0
"212","S01000018",2001,"muslim",0
"213","S01000018",2001,"sikh",0
"214","S01000018",2001,"another_religion",0
"215","S01000018",2001,"none",298
"216","S01000018",2001,"not_announced",23
"217","S01000019",2001,"all_people",531
"218","S01000019",2001,"church_of_scotland",229
"219","S01000019",2001,"roman_catholic",37
"220","S01000019",2001,"other_christian",60
"221","S01000019",2001,"buddhist",2
"222","S01000019",2001,"hindu",0
"223","S01000019",2001,"jewish",0
"224","S01000019",2001,"muslim",3
"225","S01000019",2001,"sikh",1
"226","S01000019",2001,"another_religion",7
"227","S01000019",2001,"none",175
"228","S01000019",2001,"not_announced",17
"229","S01000020",2001,"all_people",1065
"230","S01000020",2001,"church_of_scotland",406
"231","S01000020",2001,"roman_catholic",69
"232","S01000020",2001,"other_christian",235
"233","S01000020",2001,"buddhist",1
"234","S01000020",2001,"hindu",0
"235","S01000020",2001,"jewish",0
"236","S01000020",2001,"muslim",13
"237","S01000020",2001,"sikh",0
"238","S01000020",2001,"another_religion",5
"239","S01000020",2001,"none",297
"240","S01000020",2001,"not_announced",39
"241","S01000021",2001,"all_people",862
"242","S01000021",2001,"church_of_scotland",358
"243","S01000021",2001,"roman_catholic",23
"244","S01000021",2001,"other_christian",50
"245","S01000021",2001,"buddhist",0
"246","S01000021",2001,"hindu",0
"247","S01000021",2001,"jewish",0
"248","S01000021",2001,"muslim",7
"249","S01000021",2001,"sikh",0
