"","datazone","year","type","count"
"1","S01000001",2001,"all_people",1008
"2","S01000001",2001,"england",146
"3","S01000001",2001,"scotland",765
"4","S01000001",2001,"wales",16
"5","S01000001",2001,"northern_ireland",3
"6","S01000001",2001,"rep_ireland",3
"7","S01000001",2001,"other_eu",22
"8","S01000001",2001,"elsewhere",53
"9","S01000002",2001,"all_people",687
"10","S01000002",2001,"england",66
"11","S01000002",2001,"scotland",591
"12","S01000002",2001,"wales",0
"13","S01000002",2001,"northern_ireland",4
"14","S01000002",2001,"rep_ireland",1
"15","S01000002",2001,"other_eu",6
"16","S01000002",2001,"elsewhere",19
"17","S01000003",2001,"all_people",838
"18","S01000003",2001,"england",54
"19","S01000003",2001,"scotland",759
"20","S01000003",2001,"wales",2
"21","S01000003",2001,"northern_ireland",4
"22","S01000003",2001,"rep_ireland",0
"23","S01000003",2001,"other_eu",2
"24","S01000003",2001,"elsewhere",17
"25","S01000004",2001,"all_people",641
"26","S01000004",2001,"england",50
"27","S01000004",2001,"scotland",557
"28","S01000004",2001,"wales",0
"29","S01000004",2001,"northern_ireland",3
"30","S01000004",2001,"rep_ireland",0
"31","S01000004",2001,"other_eu",7
"32","S01000004",2001,"elsewhere",24
"33","S01000005",2001,"all_people",663
"34","S01000005",2001,"england",81
"35","S01000005",2001,"scotland",524
"36","S01000005",2001,"wales",7
"37","S01000005",2001,"northern_ireland",1
"38","S01000005",2001,"rep_ireland",1
"39","S01000005",2001,"other_eu",12
"40","S01000005",2001,"elsewhere",37
"41","S01000006",2001,"all_people",626
"42","S01000006",2001,"england",56
"43","S01000006",2001,"scotland",542
"44","S01000006",2001,"wales",4
"45","S01000006",2001,"northern_ireland",0
"46","S01000006",2001,"rep_ireland",3
"47","S01000006",2001,"other_eu",4
"48","S01000006",2001,"elsewhere",17
"49","S01000007",2001,"all_people",924
"50","S01000007",2001,"england",120
"51","S01000007",2001,"scotland",749
"52","S01000007",2001,"wales",1
"53","S01000007",2001,"northern_ireland",2
"54","S01000007",2001,"rep_ireland",1
"55","S01000007",2001,"other_eu",13
"56","S01000007",2001,"elsewhere",38
"57","S01000008",2001,"all_people",584
"58","S01000008",2001,"england",42
"59","S01000008",2001,"scotland",523
"60","S01000008",2001,"wales",1
"61","S01000008",2001,"northern_ireland",1
"62","S01000008",2001,"rep_ireland",0
"63","S01000008",2001,"other_eu",3
"64","S01000008",2001,"elsewhere",14
"65","S01000009",2001,"all_people",710
"66","S01000009",2001,"england",48
"67","S01000009",2001,"scotland",648
"68","S01000009",2001,"wales",1
"69","S01000009",2001,"northern_ireland",0
"70","S01000009",2001,"rep_ireland",0
"71","S01000009",2001,"other_eu",1
"72","S01000009",2001,"elsewhere",12
"73","S01000010",2001,"all_people",568
"74","S01000010",2001,"england",38
"75","S01000010",2001,"scotland",506
"76","S01000010",2001,"wales",0
"77","S01000010",2001,"northern_ireland",1
"78","S01000010",2001,"rep_ireland",2
"79","S01000010",2001,"other_eu",3
"80","S01000010",2001,"elsewhere",18
"81","S01000011",2001,"all_people",918
"82","S01000011",2001,"england",142
"83","S01000011",2001,"scotland",584
"84","S01000011",2001,"wales",12
"85","S01000011",2001,"northern_ireland",2
"86","S01000011",2001,"rep_ireland",2
"87","S01000011",2001,"other_eu",60
"88","S01000011",2001,"elsewhere",116
"89","S01000012",2001,"all_people",1332
"90","S01000012",2001,"england",69
"91","S01000012",2001,"scotland",1203
"92","S01000012",2001,"wales",5
"93","S01000012",2001,"northern_ireland",6
"94","S01000012",2001,"rep_ireland",2
"95","S01000012",2001,"other_eu",12
"96","S01000012",2001,"elsewhere",35
"97","S01000013",2001,"all_people",898
"98","S01000013",2001,"england",82
"99","S01000013",2001,"scotland",744
"100","S01000013",2001,"wales",4
"101","S01000013",2001,"northern_ireland",1
"102","S01000013",2001,"rep_ireland",3
"103","S01000013",2001,"other_eu",16
"104","S01000013",2001,"elsewhere",48
"105","S01000014",2001,"all_people",1097
"106","S01000014",2001,"england",87
"107","S01000014",2001,"scotland",965
"108","S01000014",2001,"wales",1
"109","S01000014",2001,"northern_ireland",6
"110","S01000014",2001,"rep_ireland",0
"111","S01000014",2001,"other_eu",12
"112","S01000014",2001,"elsewhere",26
"113","S01000015",2001,"all_people",869
"114","S01000015",2001,"england",54
"115","S01000015",2001,"scotland",783
"116","S01000015",2001,"wales",1
"117","S01000015",2001,"northern_ireland",10
"118","S01000015",2001,"rep_ireland",4
"119","S01000015",2001,"other_eu",1
"120","S01000015",2001,"elsewhere",16
"121","S01000016",2001,"all_people",763
"122","S01000016",2001,"england",125
"123","S01000016",2001,"scotland",421
"124","S01000016",2001,"wales",12
"125","S01000016",2001,"northern_ireland",4
"126","S01000016",2001,"rep_ireland",8
"127","S01000016",2001,"other_eu",72
"128","S01000016",2001,"elsewhere",121
"129","S01000017",2001,"all_people",937
"130","S01000017",2001,"england",43
"131","S01000017",2001,"scotland",864
"132","S01000017",2001,"wales",5
"133","S01000017",2001,"northern_ireland",6
"134","S01000017",2001,"rep_ireland",2
"135","S01000017",2001,"other_eu",1
"136","S01000017",2001,"elsewhere",16
"137","S01000018",2001,"all_people",577
"138","S01000018",2001,"england",25
"139","S01000018",2001,"scotland",540
"140","S01000018",2001,"wales",0
"141","S01000018",2001,"northern_ireland",0
"142","S01000018",2001,"rep_ireland",1
"143","S01000018",2001,"other_eu",8
"144","S01000018",2001,"elsewhere",3
"145","S01000019",2001,"all_people",531
"146","S01000019",2001,"england",57
"147","S01000019",2001,"scotland",429
"148","S01000019",2001,"wales",6
"149","S01000019",2001,"northern_ireland",3
"150","S01000019",2001,"rep_ireland",4
"151","S01000019",2001,"other_eu",4
"152","S01000019",2001,"elsewhere",28
"153","S01000020",2001,"all_people",1065
"154","S01000020",2001,"england",188
"155","S01000020",2001,"scotland",678
"156","S01000020",2001,"wales",11
"157","S01000020",2001,"northern_ireland",7
"158","S01000020",2001,"rep_ireland",7
"159","S01000020",2001,"other_eu",78
"160","S01000020",2001,"elsewhere",96
"161","S01000021",2001,"all_people",862
"162","S01000021",2001,"england",39
"163","S01000021",2001,"scotland",763
"164","S01000021",2001,"wales",1
"165","S01000021",2001,"northern_ireland",1
"166","S01000021",2001,"rep_ireland",0
"167","S01000021",2001,"other_eu",22
"168","S01000021",2001,"elsewhere",36
"169","S01000022",2001,"all_people",663
"170","S01000022",2001,"england",120
"171","S01000022",2001,"scotland",435
"172","S01000022",2001,"wales",4
"173","S01000022",2001,"northern_ireland",4
"174","S01000022",2001,"rep_ireland",5
"175","S01000022",2001,"other_eu",18
"176","S01000022",2001,"elsewhere",77
"177","S01000023",2001,"all_people",805
"178","S01000023",2001,"england",141
"179","S01000023",2001,"scotland",521
"180","S01000023",2001,"wales",11
"181","S01000023",2001,"northern_ireland",6
"182","S01000023",2001,"rep_ireland",8
"183","S01000023",2001,"other_eu",27
"184","S01000023",2001,"elsewhere",91
"185","S01000024",2001,"all_people",512
"186","S01000024",2001,"england",99
"187","S01000024",2001,"scotland",350
"188","S01000024",2001,"wales",2
"189","S01000024",2001,"northern_ireland",7
"190","S01000024",2001,"rep_ireland",0
"191","S01000024",2001,"other_eu",20
"192","S01000024",2001,"elsewhere",34
"193","S01000025",2001,"all_people",874
"194","S01000025",2001,"england",184
"195","S01000025",2001,"scotland",514
"196","S01000025",2001,"wales",13
"197","S01000025",2001,"northern_ireland",5
"198","S01000025",2001,"rep_ireland",5
"199","S01000025",2001,"other_eu",50
"200","S01000025",2001,"elsewhere",103
"201","S01000026",2001,"all_people",1053
"202","S01000026",2001,"england",42
"203","S01000026",2001,"scotland",991
"204","S01000026",2001,"wales",0
"205","S01000026",2001,"northern_ireland",0
"206","S01000026",2001,"rep_ireland",0
"207","S01000026",2001,"other_eu",6
"208","S01000026",2001,"elsewhere",14
"209","S01000027",2001,"all_people",815
"210","S01000027",2001,"england",84
"211","S01000027",2001,"scotland",648
"212","S01000027",2001,"wales",8
"213","S01000027",2001,"northern_ireland",4
"214","S01000027",2001,"rep_ireland",2
"215","S01000027",2001,"other_eu",6
"216","S01000027",2001,"elsewhere",63
"217","S01000028",2001,"all_people",969
"218","S01000028",2001,"england",30
"219","S01000028",2001,"scotland",919
"220","S01000028",2001,"wales",4
"221","S01000028",2001,"northern_ireland",5
"222","S01000028",2001,"rep_ireland",1
"223","S01000028",2001,"other_eu",0
"224","S01000028",2001,"elsewhere",10
"225","S01000029",2001,"all_people",742
"226","S01000029",2001,"england",131
"227","S01000029",2001,"scotland",400
"228","S01000029",2001,"wales",5
"229","S01000029",2001,"northern_ireland",4
"230","S01000029",2001,"rep_ireland",1
"231","S01000029",2001,"other_eu",80
"232","S01000029",2001,"elsewhere",121
"233","S01000030",2001,"all_people",500
"234","S01000030",2001,"england",11
"235","S01000030",2001,"scotland",476
"236","S01000030",2001,"wales",0
"237","S01000030",2001,"northern_ireland",0
"238","S01000030",2001,"rep_ireland",0
"239","S01000030",2001,"other_eu",1
"240","S01000030",2001,"elsewhere",12
"241","S01000031",2001,"all_people",1029
"242","S01000031",2001,"england",149
"243","S01000031",2001,"scotland",734
"244","S01000031",2001,"wales",7
"245","S01000031",2001,"northern_ireland",8
"246","S01000031",2001,"rep_ireland",6
"247","S01000031",2001,"other_eu",26
"248","S01000031",2001,"elsewhere",99
"249","S01000032",2001,"all_people",1089
"250","S01000032",2001,"england",39
"251","S01000032",2001,"scotland",1034
"252","S01000032",2001,"wales",1
"253","S01000032",2001,"northern_ireland",3
"254","S01000032",2001,"rep_ireland",1
"255","S01000032",2001,"other_eu",4
"256","S01000032",2001,"elsewhere",7
"257","S01000033",2001,"all_people",796
"258","S01000033",2001,"england",36
"259","S01000033",2001,"scotland",737
"260","S01000033",2001,"wales",0
"261","S01000033",2001,"northern_ireland",2
"262","S01000033",2001,"rep_ireland",1
"263","S01000033",2001,"other_eu",8
"264","S01000033",2001,"elsewhere",12
"265","S01000034",2001,"all_people",1194
"266","S01000034",2001,"england",206
"267","S01000034",2001,"scotland",845
"268","S01000034",2001,"wales",8
"269","S01000034",2001,"northern_ireland",7
"270","S01000034",2001,"rep_ireland",4
"271","S01000034",2001,"other_eu",33
"272","S01000034",2001,"elsewhere",91
"273","S01000035",2001,"all_people",1009
"274","S01000035",2001,"england",47
"275","S01000035",2001,"scotland",912
"276","S01000035",2001,"wales",0
"277","S01000035",2001,"northern_ireland",2
"278","S01000035",2001,"rep_ireland",0
"279","S01000035",2001,"other_eu",8
"280","S01000035",2001,"elsewhere",40
"281","S01000036",2001,"all_people",744
"282","S01000036",2001,"england",29
"283","S01000036",2001,"scotland",687
"284","S01000036",2001,"wales",0
"285","S01000036",2001,"northern_ireland",3
"286","S01000036",2001,"rep_ireland",1
"287","S01000036",2001,"other_eu",7
"288","S01000036",2001,"elsewhere",17
"289","S01000037",2001,"all_people",800
"290","S01000037",2001,"england",38
"291","S01000037",2001,"scotland",724
"292","S01000037",2001,"wales",2
"293","S01000037",2001,"northern_ireland",6
"294","S01000037",2001,"rep_ireland",0
"295","S01000037",2001,"other_eu",8
"296","S01000037",2001,"elsewhere",22
"297","S01000038",2001,"all_people",684
"298","S01000038",2001,"england",18
"299","S01000038",2001,"scotland",651
"300","S01000038",2001,"wales",0
"301","S01000038",2001,"northern_ireland",1
"302","S01000038",2001,"rep_ireland",2
"303","S01000038",2001,"other_eu",4
"304","S01000038",2001,"elsewhere",8
"305","S01000039",2001,"all_people",942
"306","S01000039",2001,"england",39
"307","S01000039",2001,"scotland",869
"308","S01000039",2001,"wales",0
"309","S01000039",2001,"northern_ireland",3
"310","S01000039",2001,"rep_ireland",3
"311","S01000039",2001,"other_eu",13
"312","S01000039",2001,"elsewhere",15
"313","S01000040",2001,"all_people",970
"314","S01000040",2001,"england",41
"315","S01000040",2001,"scotland",907
"316","S01000040",2001,"wales",0
"317","S01000040",2001,"northern_ireland",3
"318","S01000040",2001,"rep_ireland",1
"319","S01000040",2001,"other_eu",5
"320","S01000040",2001,"elsewhere",13
"321","S01000041",2001,"all_people",838
"322","S01000041",2001,"england",50
"323","S01000041",2001,"scotland",754
"324","S01000041",2001,"wales",2
"325","S01000041",2001,"northern_ireland",3
"326","S01000041",2001,"rep_ireland",4
