"chp","chcp_name","ig_2001"
"S03000015","East Dunbartonshire Community Health Partnership","S02000264"
"S03000015","East Dunbartonshire Community Health Partnership","S02000279"
"S03000015","East Dunbartonshire Community Health Partnership","S02000260"
"S03000015","East Dunbartonshire Community Health Partnership","S02000263"
"S03000015","East Dunbartonshire Community Health Partnership","S02000265"
"S03000015","East Dunbartonshire Community Health Partnership","S02000271"
"S03000015","East Dunbartonshire Community Health Partnership","S02000269"
"S03000015","East Dunbartonshire Community Health Partnership","S02000266"
"S03000015","East Dunbartonshire Community Health Partnership","S02000272"
"S03000015","East Dunbartonshire Community Health Partnership","S02000273"
"S03000015","East Dunbartonshire Community Health Partnership","S02000276"
"S03000015","East Dunbartonshire Community Health Partnership","S02000285"
"S03000015","East Dunbartonshire Community Health Partnership","S02000282"
"S03000015","East Dunbartonshire Community Health Partnership","S02000284"
"S03000015","East Dunbartonshire Community Health Partnership","S02000261"
"S03000015","East Dunbartonshire Community Health Partnership","S02000262"
"S03000015","East Dunbartonshire Community Health Partnership","S02000268"
"S03000015","East Dunbartonshire Community Health Partnership","S02000270"
"S03000015","East Dunbartonshire Community Health Partnership","S02000278"
"S03000015","East Dunbartonshire Community Health Partnership","S02000283"
"S03000015","East Dunbartonshire Community Health Partnership","S02000287"
"S03000015","East Dunbartonshire Community Health Partnership","S02000286"
"S03000015","East Dunbartonshire Community Health Partnership","S02000281"
"S03000015","East Dunbartonshire Community Health Partnership","S02000277"
"S03000015","East Dunbartonshire Community Health Partnership","S02000275"
"S03000015","East Dunbartonshire Community Health Partnership","S02000280"
"S03000015","East Dunbartonshire Community Health Partnership","S02000274"
"S03000015","East Dunbartonshire Community Health Partnership","S02000267"
"S03000016","East Glasgow Community Health & Care Partnership","S02000635"
"S03000016","East Glasgow Community Health & Care Partnership","S02000650"
"S03000016","East Glasgow Community Health & Care Partnership","S02000648"
"S03000016","East Glasgow Community Health & Care Partnership","S02000633"
"S03000016","East Glasgow Community Health & Care Partnership","S02000659"
"S03000016","East Glasgow Community Health & Care Partnership","S02000629"
"S03000016","East Glasgow Community Health & Care Partnership","S02000620"
"S03000016","East Glasgow Community Health & Care Partnership","S02000643"
"S03000016","East Glasgow Community Health & Care Partnership","S02000654"
"S03000016","East Glasgow Community Health & Care Partnership","S02000640"
"S03000016","East Glasgow Community Health & Care Partnership","S02000632"
"S03000016","East Glasgow Community Health & Care Partnership","S02000646"
"S03000016","East Glasgow Community Health & Care Partnership","S02000636"
"S03000016","East Glasgow Community Health & Care Partnership","S02000623"
"S03000016","East Glasgow Community Health & Care Partnership","S02000657"
"S03000016","East Glasgow Community Health & Care Partnership","S02000630"
"S03000016","East Glasgow Community Health & Care Partnership","S02000611"
"S03000016","East Glasgow Community Health & Care Partnership","S02000613"
"S03000016","East Glasgow Community Health & Care Partnership","S02000618"
"S03000016","East Glasgow Community Health & Care Partnership","S02000667"
"S03000016","East Glasgow Community Health & Care Partnership","S02000663"
"S03000016","East Glasgow Community Health & Care Partnership","S02000652"
"S03000016","East Glasgow Community Health & Care Partnership","S02000674"
"S03000016","East Glasgow Community Health & Care Partnership","S02000653"
"S03000016","East Glasgow Community Health & Care Partnership","S02000662"
"S03000016","East Glasgow Community Health & Care Partnership","S02000619"
"S03000016","East Glasgow Community Health & Care Partnership","S02000645"
"S03000016","East Glasgow Community Health & Care Partnership","S02000626"
"S03000017","East Renfrewshire Community Health & Care Partnership","S02000325"
"S03000017","East Renfrewshire Community Health & Care Partnership","S02000326"
"S03000017","East Renfrewshire Community Health & Care Partnership","S02000320"
"S03000017","East Renfrewshire Community Health & Care Partnership","S02000327"
"S03000017","East Renfrewshire Community Health & Care Partnership","S02000323"
"S03000017","East Renfrewshire Community Health & Care Partnership","S02000316"
"S03000017","East Renfrewshire Community Health & Care Partnership","S02000318"
"S03000017","East Renfrewshire Community Health & Care Partnership","S02000324"
"S03000017","East Renfrewshire Community Health & Care Partnership","S02000328"
"S03000017","East Renfrewshire Community Health & Care Partnership","S02000310"
"S03000017","East Renfrewshire Community Health & Care Partnership","S02000317"
"S03000017","East Renfrewshire Community Health & Care Partnership","S02000315"
"S03000017","East Renfrewshire Community Health & Care Partnership","S02000319"
"S03000017","East Renfrewshire Community Health & Care Partnership","S02000312"
"S03000017","East Renfrewshire Community Health & Care Partnership","S02000313"
"S03000017","East Renfrewshire Community Health & Care Partnership","S02000311"
"S03000017","East Renfrewshire Community Health & Care Partnership","S02000314"
"S03000017","East Renfrewshire Community Health & Care Partnership","S02000329"
"S03000017","East Renfrewshire Community Health & Care Partnership","S02000321"
"S03000017","East Renfrewshire Community Health & Care Partnership","S02000322"
"S03000018","Inverclyde Community Health Partnership","S02000772"
"S03000018","Inverclyde Community Health Partnership","S02000771"
"S03000018","Inverclyde Community Health Partnership","S02000775"
